# x g1 ann1 g2 ann2 gint annint
-1.00000000e+00 1.92497730e-01 4.76393114e-02 -1.01800432e+01 -8.71966162e+00 0.00000000e+00 0.00000000e+00
-9.48717949e-01 -3.82599037e-01 -4.51079985e-01 -1.21246712e+01 -1.06665346e+01 1.80001747e-02 1.82008205e-02
-8.97435897e-01 -1.03558965e+00 -1.03743927e+00 -1.31661333e+01 -1.20871063e+01 3.49597970e-02 3.51959924e-02
-8.46153846e-01 -1.71275948e+00 -1.67559096e+00 -1.30284383e+01 -1.26155480e+01 4.91852002e-02 4.94512651e-02
-7.94871795e-01 -2.34854468e+00 -2.30836947e+00 -1.15325344e+01 -1.18024022e+01 5.89243555e-02 5.93009082e-02
-7.43589744e-01 -2.87152055e+00 -2.85664488e+00 -8.63436077e+00 -9.27725482e+00 6.25366632e-02 6.30982607e-02
-6.92307692e-01 -3.21203839e+00 -3.22934758e+00 -4.45006416e+00 -4.98217423e+00 5.86774290e-02 5.94216372e-02
-6.41025641e-01 -3.31070703e+00 -3.34404843e+00 7.37034462e-01 6.78874435e-01 4.64772974e-02 4.73092200e-02
-5.89743590e-01 -3.12668633e+00 -3.14988277e+00 6.49108412e+00 6.91161379e+00 2.56947891e-02 2.64706677e-02
-5.38461538e-01 -2.64465763e+00 -2.64094553e+00 1.22604774e+01 1.28139274e+01 -3.17936672e-03 -2.58213732e-03
-4.87179487e-01 -1.87939243e+00 -1.85337270e+00 1.74340137e+01 1.76910029e+01 -3.88839619e-02 -3.85188710e-02
-4.35897436e-01 -8.77064020e-01 -8.50209756e-01 2.14105360e+01 2.11879280e+01 -7.94267383e-02 -7.92823358e-02
-3.84615385e-01 2.87180423e-01 2.93855539e-01 2.36735589e+01 2.31691236e+01 -1.22204752e-01 -1.22250790e-01
-3.33333333e-01 1.51539137e+00 1.49774302e+00 2.38609309e+01 2.34855485e+01 -1.64199289e-01 -1.64433218e-01
-2.82051282e-01 2.69621758e+00 2.66951217e+00 2.18195156e+01 2.18643222e+01 -2.02229316e-01 -2.02683669e-01
-2.30769231e-01 3.71653941e+00 3.70249248e+00 1.76363660e+01 1.80454154e+01 -2.33239208e-01 -2.33944025e-01
-1.79487179e-01 4.47396974e+00 4.48314581e+00 1.16407484e+01 1.20695215e+01 -2.54590724e-01 -2.55522839e-01
-1.28205128e-01 4.88866515e+00 4.91252610e+00 4.37529252e+00 4.47902278e+00 -2.64327075e-01 -2.65389092e-01
-7.69230769e-02 4.91291304e+00 4.93154456e+00 -3.46109811e+00 -3.75012673e+00 -2.61378678e-01 -2.62426704e-01
-2.56410256e-02 4.53720385e+00 4.53586313e+00 -1.10917966e+01 -1.15218074e+01 -2.45685959e-01 -2.46586568e-01
2.56410256e-02 3.79193394e+00 3.77269855e+00 -1.77524371e+01 -1.79693159e+01 -2.18223608e-01 -2.18898714e-01
7.69230769e-02 2.74445231e+00 2.72379588e+00 -2.27804797e+01 -2.26175221e+01 -1.80921946e-01 -1.81352013e-01
1.28205128e-01 1.49178233e+00 1.48667230e+00 -2.56924218e+01 -2.52961884e+01 -1.36493007e-01 -1.36683433e-01
1.79487179e-01 1.49925389e-01 1.64088362e-01 -2.62384104e+01 -2.59394496e+01 -8.81800880e-02 -8.81238964e-02
2.30769231e-01 -1.15889780e+00 -1.13767173e+00 -2.44272206e+01 -2.44715230e+01 -3.94583051e-02 -3.91283128e-02
2.82051282e-01 -2.31945720e+00 -2.30925487e+00 -2.05187893e+01 -2.08730421e+01 6.28101956e-03 6.90392779e-03
3.33333333e-01 -3.23553661e+00 -3.24553128e+00 -1.49860597e+01 -1.53592128e+01 4.60281017e-02 4.69149626e-02
3.84615385e-01 -3.83933278e+00 -3.86164706e+00 -8.45210174e+00 -8.51736887e+00 7.74035945e-02 7.84613475e-02
4.35897436e-01 -4.09718704e+00 -4.11223325e+00 -1.61167834e+00 -1.27748697e+00 9.88343805e-02 9.99328827e-02
4.87179487e-01 -4.01112750e+00 -4.00371553e+00 4.85182467e+00 5.32529064e+00 1.09641414e-01 1.10669118e-01
5.38461538e-01 -3.61626969e+00 -3.59052337e+00 1.03431006e+01 1.05156520e+01 1.10035536e-01 1.10943261e-01
5.89743590e-01 -2.97465494e+00 -2.95374259e+00 1.44157617e+01 1.40530393e+01 1.01027838e-01 1.01823840e-01
6.41025641e-01 -2.16652618e+00 -2.17346356e+00 1.68106076e+01 1.61724745e+01 8.42703524e-02 8.49677603e-02
6.92307692e-01 -1.28029530e+00 -1.31391197e+00 1.74681708e+01 1.71731901e+01 6.18494336e-02 6.24130727e-02
7.43589744e-01 -4.02521904e-01 -4.32035831e-01 1.65161309e+01 1.69938827e+01 3.60576652e-02 3.64080579e-02
7.94871795e-01 3.90896239e-01 4.01573940e-01 1.42355325e+01 1.52112044e+01 9.17009348e-03 9.25655394e-03
8.46153846e-01 1.04139014e+00 1.09522620e+00 1.10122310e+01 1.15309377e+01 -1.67524413e-02 -1.68695224e-02
8.97435897e-01 1.51168239e+00 1.55788481e+00 7.28131800e+00 6.33697997e+00 -4.00155931e-02 -4.01663998e-02
9.48717949e-01 1.78688902e+00 1.73856376e+00 3.47237621e+00 7.65321907e-01 -5.93890649e-02 -5.94288635e-02
1.00000000e+00 1.87298450e+00 1.65379972e+00 -3.76144317e-02 -3.80360606e+00 -7.41464317e-02 -7.41780626e-02
