# x true ann ann_d1 true_d1
-1.00000000e+00 -8.41470985e-01 -8.95256168e-01 8.19972824e-01 5.40302306e-01
-9.66101695e-01 -8.22675741e-01 -8.67393353e-01 8.23930845e-01 5.68510884e-01
-9.32203390e-01 -8.02935255e-01 -8.39396614e-01 8.27874296e-01 5.96066251e-01
-8.98305085e-01 -7.82272209e-01 -8.11266449e-01 8.31802929e-01 6.22936748e-01
-8.64406780e-01 -7.60710343e-01 -7.83003365e-01 8.35716510e-01 6.49091499e-01
-8.30508475e-01 -7.38274433e-01 -7.54607876e-01 8.39614813e-01 6.74500454e-01
-7.96610169e-01 -7.14990256e-01 -7.26080502e-01 8.43497615e-01 6.99134417e-01
-7.62711864e-01 -6.90884566e-01 -6.97421774e-01 8.47364698e-01 7.22965086e-01
-7.28813559e-01 -6.65985061e-01 -6.68632228e-01 8.51215841e-01 7.45965079e-01
-6.94915254e-01 -6.40320348e-01 -6.39712408e-01 8.55050828e-01 7.68107969e-01
-6.61016949e-01 -6.13919917e-01 -6.10662866e-01 8.58869441e-01 7.89368314e-01
-6.27118644e-01 -5.86814101e-01 -5.81484159e-01 8.62671463e-01 8.09721688e-01
-5.93220339e-01 -5.59034044e-01 -5.52176855e-01 8.66456678e-01 8.29144702e-01
-5.59322034e-01 -5.30611666e-01 -5.22741526e-01 8.70224871e-01 8.47615043e-01
-5.25423729e-01 -5.01579622e-01 -4.93178753e-01 8.73975826e-01 8.65111486e-01
-4.91525424e-01 -4.71971272e-01 -4.63489124e-01 8.77709331e-01 8.81613928e-01
-4.57627119e-01 -4.41820633e-01 -4.33673235e-01 8.81425170e-01 8.97103410e-01
-4.23728814e-01 -4.11162349e-01 -4.03731688e-01 8.85123132e-01 9.11562133e-01
-3.89830508e-01 -3.80031645e-01 -3.73665092e-01 8.88803003e-01 9.24973485e-01
-3.55932203e-01 -3.48464291e-01 -3.43474064e-01 8.92464573e-01 9.37322057e-01
-3.22033898e-01 -3.16496557e-01 -3.13159228e-01 8.96107631e-01 9.48593659e-01
-2.88135593e-01 -2.84165173e-01 -2.82721216e-01 8.99731966e-01 9.58775341e-01
-2.54237288e-01 -2.51507287e-01 -2.52160665e-01 9.03337369e-01 9.67855405e-01
-2.20338983e-01 -2.18560423e-01 -2.21478221e-01 9.06923632e-01 9.75823417e-01
-1.86440678e-01 -1.85362437e-01 -1.90674535e-01 9.10490546e-01 9.82670223e-01
-1.52542373e-01 -1.51951472e-01 -1.59750269e-01 9.14037905e-01 9.88387955e-01
-1.18644068e-01 -1.18365916e-01 -1.28706087e-01 9.17565503e-01 9.92970045e-01
-8.47457627e-02 -8.46443607e-02 -9.75426638e-02 9.21073133e-01 9.96411226e-01
-5.08474576e-02 -5.08255497e-02 -6.62606790e-02 9.24560593e-01 9.98707547e-01
-1.69491525e-02 -1.69483410e-02 -3.48608200e-02 9.28027676e-01 9.99856367e-01
1.69491525e-02 1.69483410e-02 -3.34378093e-03 9.31474182e-01 9.99856367e-01
5.08474576e-02 5.08255497e-02 2.82897372e-02 9.34899908e-01 9.98707547e-01
8.47457627e-02 8.46443607e-02 6.00390266e-02 9.38304652e-01 9.96411226e-01
1.18644068e-01 1.18365916e-01 9.19033726e-02 9.41688215e-01 9.92970045e-01
1.52542373e-01 1.51951472e-01 1.23882054e-01 9.45050397e-01 9.88387955e-01
1.86440678e-01 1.85362437e-01 1.55974342e-01 9.48391001e-01 9.82670223e-01
2.20338983e-01 2.18560423e-01 1.88179503e-01 9.51709828e-01 9.75823417e-01
2.54237288e-01 2.51507287e-01 2.20496794e-01 9.55006683e-01 9.67855405e-01
2.88135593e-01 2.84165173e-01 2.52925468e-01 9.58281370e-01 9.58775341e-01
3.22033898e-01 3.16496557e-01 2.85464770e-01 9.61533695e-01 9.48593659e-01
3.55932203e-01 3.48464291e-01 3.18113938e-01 9.64763464e-01 9.37322057e-01
3.89830508e-01 3.80031645e-01 3.50872205e-01 9.67970485e-01 9.24973485e-01
4.23728814e-01 4.11162349e-01 3.83738797e-01 9.71154567e-01 9.11562133e-01
