# x phi phi2 abs_error
-1.00000000e+00 -7.78282291e-01 6.05723325e-01 5.37851829e-02
-9.66101695e-01 -7.50845354e-01 5.63768746e-01 4.47176118e-02
-9.32203390e-01 -7.23282196e-01 5.23137135e-01 3.64613588e-02
-8.98305085e-01 -6.95592676e-01 4.83849171e-01 2.89942406e-02
-8.64406780e-01 -6.67776987e-01 4.45926105e-01 2.22930219e-02
-8.30508475e-01 -6.39835487e-01 4.09389451e-01 1.63334427e-02
-7.96610169e-01 -6.11768618e-01 3.74260842e-01 1.10902460e-02
-7.62711864e-01 -5.83576864e-01 3.40561956e-01 6.53720773e-03
-7.28813559e-01 -5.55260733e-01 3.08314482e-01 2.64716755e-03
-6.94915254e-01 -5.26820748e-01 2.77540100e-01 6.07939764e-04
-6.61016949e-01 -4.98257441e-01 2.48260477e-01 3.25705121e-03
-6.27118644e-01 -4.69571352e-01 2.20497255e-01 5.32994175e-03
-5.93220339e-01 -4.40763031e-01 1.94272049e-01 6.85718951e-03
-5.59322034e-01 -4.11833032e-01 1.69606446e-01 7.87013997e-03
-5.25423729e-01 -3.82781917e-01 1.46521996e-01 8.40086936e-03
-4.91525424e-01 -3.53610257e-01 1.25040214e-01 8.48214711e-03
-4.57627119e-01 -3.24318626e-01 1.05182571e-01 8.14739759e-03
-4.23728814e-01 -2.94907608e-01 8.69704974e-02 7.43066101e-03
-3.89830508e-01 -2.65377792e-01 7.04253725e-02 6.36655365e-03
-3.55932203e-01 -2.35729774e-01 5.55685262e-02 4.99022742e-03
-3.22033898e-01 -2.05964156e-01 4.24212337e-02 3.33732876e-03
-2.88135593e-01 -1.76081549e-01 3.10047120e-02 1.44395703e-03
-2.54237288e-01 -1.46082568e-01 2.13401168e-02 6.53377713e-04
-2.20338983e-01 -1.15967837e-01 1.34485392e-02 2.91779734e-03
-1.86440678e-01 -8.57379839e-02 7.35100188e-03 5.31209875e-03
-1.52542373e-01 -5.53936452e-02 3.06845593e-03 7.79879734e-03
-1.18644068e-01 -2.49354632e-02 6.21777327e-04 1.03401708e-02
-8.47457627e-02 5.63591297e-03 3.17635150e-05 1.28983032e-02
-5.08474576e-02 3.63198280e-02 1.31912991e-03 1.54351293e-02
-1.69491525e-02 6.71156201e-02 4.50450646e-03 1.79124789e-02
1.69491525e-02 9.80226208e-02 9.60843419e-03 2.02921220e-02
5.08474576e-02 1.29040155e-01 1.66513617e-02 2.25358125e-02
8.47457627e-02 1.60167543e-01 2.56536418e-02 2.46053341e-02
1.18644068e-01 1.91404096e-01 3.66355280e-02 2.64625439e-02
1.52542373e-01 2.22749121e-01 4.96171708e-02 2.80694178e-02
1.86440678e-01 2.54201917e-01 6.46186146e-02 2.93880946e-02
2.20338983e-01 2.85761779e-01 8.16597942e-02 3.03809205e-02
2.54237288e-01 3.17427993e-01 1.00760531e-01 3.10104930e-02
2.88135593e-01 3.49199842e-01 1.21940530e-01 3.12397047e-02
3.22033898e-01 3.81076600e-01 1.45219375e-01 3.10317871e-02
3.55932203e-01 4.13057536e-01 1.70616528e-01 3.03503530e-02
3.89830508e-01 4.45141914e-01 1.98151323e-01 2.91594401e-02
4.23728814e-01 4.77328989e-01 2.27842964e-01 2.74235521e-02
4.57627119e-01 5.09618014e-01 2.59710520e-01 2.51077013e-02
4.91525424e-01 5.42008232e-01 2.93772924e-01 2.21774489e-02
5.25423729e-01 5.74498883e-01 3.30048967e-01 1.85989460e-02
5.59322034e-01 6.07089200e-01 3.68557297e-01 1.43389730e-02
5.93220339e-01 6.39778409e-01 4.09316413e-01 9.36497878e-03
6.27118644e-01 6.72565733e-01 4.52344665e-01 3.64511917e-03
6.61016949e-01 7.05450386e-01 4.97660248e-01 2.85170593e-03
6.94915254e-01 7.38431580e-01 5.45281198e-01 1.01558157e-02
7.28813559e-01 7.71508518e-01 5.95225393e-01 1.82967125e-02
7.62711864e-01 8.04680401e-01 6.47510548e-01 2.73030476e-02
7.96610169e-01 8.37946425e-01 7.02154212e-01 3.72025866e-02
8.30508475e-01 8.71305785e-01 7.59173771e-01 4.80221773e-02
8.64406780e-01 9.04757675e-01 8.18586450e-01 5.97877174e-02
8.98305085e-01 9.38301295e-01 8.80409321e-01 7.25241242e-02
9.32203390e-01 9.71935862e-01 9.44659320e-01 8.62553047e-02
9.66101695e-01 1.00566062e+00 1.01135329e+00 1.01004128e-01
1.00000000e+00 1.03947488e+00 1.08050802e+00 1.16792396e-01
