# dr  E0_numerical  E0_exact  error
0.05 -0.499688 -0.5 0.00031211
0.1 -0.498756 -0.5 0.00124379
0.15 -0.497219 -0.5 0.0027813
0.2 -0.495098 -0.5 0.00490243
0.25 -0.492423 -0.5 0.0075775
0.3 -0.489229 -0.5 0.0107705
0.35 -0.485559 -0.5 0.0144408
0.4 -0.481456 -0.5 0.018544
0.45 -0.476966 -0.5 0.023034
0.5 -0.472136 -0.5 0.027864
0.55 -0.467012 -0.5 0.0329877
0.6 -0.46164 -0.5 0.0383601
0.65 -0.456062 -0.5 0.0439384
0.7 -0.450317 -0.5 0.0496825
0.75 -0.444444 -0.5 0.0555556
0.8 -0.438476 -0.5 0.0615237
0.85 -0.432444 -0.5 0.0675564
0.9 -0.426373 -0.5 0.0736267
0.95 -0.42029 -0.5 0.0797103
1 -0.414214 -0.5 0.0857864
