# rmax  E0_numerical  E0_exact  error
1 2.9934 -0.5 3.4934
2 0.044872 -0.5 0.544872
3 -0.410234 -0.5 0.0897658
4 -0.468521 -0.5 0.0314791
5 -0.48389 -0.5 0.0161098
6 -0.488413 -0.5 0.0115865
7 -0.489041 -0.5 0.0109592
8 -0.489188 -0.5 0.0108124
9 -0.489224 -0.5 0.0107759
10 -0.489228 -0.5 0.0107717
11 -0.489229 -0.5 0.0107708
12 -0.489229 -0.5 0.0107706
13 -0.489229 -0.5 0.0107706
14 -0.489229 -0.5 0.0107705
15 -0.489229 -0.5 0.0107705
16 -0.489229 -0.5 0.0107705
17 -0.489229 -0.5 0.0107705
18 -0.489229 -0.5 0.0107705
19 -0.489229 -0.5 0.0107705
20 -0.489229 -0.5 0.0107705
