# r  f1(r)  f2(r)  f3(r)  exact_f1(r)  exact_f2(r)  exact_f3(r)
0.3 0.436908 0.18659 0.226738 0.444491 0.155196 0.0842818
0.6 0.650146 0.264957 0.313504 0.658574 0.220012 0.118489
0.9 0.725593 0.269138 0.300785 0.731825 0.223181 0.118048
1.2 0.719818 0.224874 0.222696 0.722866 0.186273 0.0949463
1.5 0.669458 0.151376 0.107343 0.66939 0.125255 0.0583634
1.8 0.597716 0.0627417 -0.022751 0.595076 0.0517479 0.0152091
2.1 0.518838 -0.0309122 -0.150176 0.514317 -0.0259816 -0.0294349
2.4 0.441178 -0.122535 -0.262126 0.435446 -0.102229 -0.0719459
2.7 0.369279 -0.207418 -0.349874 0.36291 -0.173228 -0.109855
3 0.305282 -0.282622 -0.408233 0.298722 -0.236665 -0.141597
3.3 0.249851 -0.346522 -0.435023 0.243429 -0.291291 -0.166303
3.6 0.202794 -0.398452 -0.430545 0.196731 -0.336626 -0.183633
3.9 0.163455 -0.438428 -0.397078 0.157887 -0.372734 -0.193641
4.2 0.130967 -0.466939 -0.338402 0.125963 -0.400045 -0.196664
4.5 0.104398 -0.484778 -0.259359 0.099981 -0.419223 -0.193236
4.8 0.0828477 -0.492922 -0.165446 0.0790056 -0.43107 -0.184017
5.1 0.0654857 -0.49244 -0.0624621 0.0621868 -0.436451 -0.16974
5.4 0.0515793 -0.484428 0.0438092 0.0487791 -0.436247 -0.15117
5.7 0.0404956 -0.469958 0.147861 0.038144 -0.431313 -0.12907
6 0.0316992 -0.450047 0.244681 0.029745 -0.422457 -0.104181
6.3 0.0247434 -0.425636 0.32992 0.0231374 -0.410427 -0.0772047
6.6 0.0192595 -0.397578 0.400014 0.0179569 -0.3959 -0.0487895
6.9 0.0149463 -0.366628 0.452267 0.0139074 -0.379476 -0.0195264
7.2 0.0115595 -0.333448 0.484883 0.0107508 -0.361685 0.0100562
7.5 0.00890155 -0.298601 0.496973 0.00829627 -0.342985 0.0394932
7.8 0.00681389 -0.26256 0.488523 0.00639187 -0.323764 0.0683823
8.1 0.00516901 -0.225711 0.460333 0.00491733 -0.304353 0.096382
8.4 0.00386447 -0.188362 0.413935 0.00377777 -0.285021 0.123208
8.7 0.00281741 -0.150743 0.351493 0.00289859 -0.265992 0.14863
9 0.00196018 -0.113021 0.275687 0.00222138 -0.24744 0.172467
9.3 0.00123635 -0.0752994 0.189589 0.00170049 -0.229505 0.194583
9.6 0.00059747 -0.0376261 0.0965361 0.00130039 -0.212288 0.214882
