# acc erf1_numeric abs_error est_error evaluations status
0.10000000000000001 0.84251036764405329 0.00019042530566160121 0.0060239875447224032 4 success
0.010000000000000002 0.84251036764405329 0.00019042530566160121 0.0060239875447224032 4 success
0.0010000000000000002 0.84272995848719867 2.9165537483777371e-05 0.00030436947942877915 12 success
0.00010000000000000003 0.84270122250740609 4.2955769119501497e-07 6.2113401489491291e-05 28 success
1.0000000000000003e-05 0.84270082117709633 2.8227381432266441e-08 4.8348208615073008e-06 80 success
1.0000000000000004e-06 0.84270079419936095 1.2496460533029108e-09 5.1967347117615467e-07 188 success
1.0000000000000005e-07 0.84270079298813749 3.8422598436227418e-11 6.0336404932628275e-08 436 success
1.0000000000000004e-08 0.84270079295184652 2.1316282072803006e-12 5.5920910290726951e-09 1240 success
1.0000000000000005e-09 0.8427007929497895 7.460698725481052e-14 5.6822930394061223e-10 2932 success
1.0000000000000006e-10 0.84270079294974221 2.7311486405778851e-14 6.1708277413887891e-11 6876 success
