# z erf_numeric erf_reference abs_error est_error evaluations status
-3 -0.99997792064787983 -0.99997790950300136 1.1144878464541819e-08 5.5578227813464334e-09 36 success
-2.9500000000000002 -0.99996981358962056 -0.99996979695793586 1.6631684696122306e-08 4.9406829067128792e-09 48 success
-2.9000000000000004 -0.99995892677747844 -0.99995890212190053 2.465557791264672e-08 4.6248018335265233e-09 56 success
-2.8500000000000005 -0.99994438006031627 -0.9999443437200386 3.6340277675961374e-08 5.3408097920175353e-09 60 success
-2.8000000000000007 -0.99992504007756844 -0.99992498680533459 5.3272233846435313e-08 6.8161093227875335e-09 64 success
-2.7500000000000009 -0.99989937821460073 -0.99989937807788032 1.3672041276890923e-10 4.643692191039358e-09 76 success
-2.7000000000000011 -0.99986566745827488 -0.99986566726005943 1.9821544405829172e-10 5.8169737913162761e-09 76 success
-2.6500000000000012 -0.99982151248973272 -0.999821512247976 2.4175672574955342e-10 5.6241054578651676e-09 88 success
-2.6000000000000014 -0.99976396595003381 -0.99976396558347069 3.6656311319660517e-10 4.5656934794943622e-09 108 success
-2.5500000000000016 -0.99968934019557965 -0.99968933965736084 5.3821880285909174e-10 4.4042322678667651e-09 116 success
-2.5000000000000018 -0.99959304863553877 -0.99959304798255499 6.5298377815992126e-10 3.6348378904098681e-09 128 success
-2.450000000000002 -0.99946942084409229 -0.99946941988774896 9.5634333785454828e-10 4.7642205109248867e-09 132 success
-2.4000000000000021 -0.99931148743264198 -0.99931148610335496 1.3292870137959767e-09 4.854533514826466e-09 136 success
-2.3500000000000023 -0.99911073498280467 -0.99911073296786757 2.0149371060540489e-09 6.2001550521560941e-09 136 success
-2.3000000000000025 -0.9988568263040557 -0.99885682340264337 2.9014123326120966e-09 6.5766217313030316e-09 144 success
-2.2500000000000027 -0.99853728376361262 -0.99853728341331882 3.5029379397144567e-10 4.9835709587885763e-09 200 success
-2.2000000000000028 -0.99813715379936796 -0.99813715370201817 9.7349794891954389e-11 4.584519082334031e-09 220 success
-2.150000000000003 -0.99763860713857355 -0.99763860703732543 1.012481209983207e-10 4.0849271231102598e-09 240 success
-2.1000000000000032 -0.99702053381969002 -0.99702053334366703 4.7602299879656584e-10 4.663929264565367e-09 240 success
-2.0500000000000034 -0.99625809624660278 -0.99625809604445692 2.021458556100697e-10 4.8016819660693922e-09 268 success
-2.0000000000000036 -0.99532226525079315 -0.99532226501895282 2.3184032471590399e-10 4.9324061117866226e-09 288 success
-1.9500000000000035 -0.99417933392004132 -0.99417933359218924 3.2785207881858014e-10 5.0172196173025273e-09 304 success
-1.9000000000000035 -0.99279042970555165 -0.99279042923525762 4.7029402594489511e-10 6.1976993296995679e-09 308 success
-1.8500000000000034 -0.99111103060659922 -0.99111103005608581 5.5051341263379072e-10 4.9289325039890477e-09 388 success
-1.8000000000000034 -0.98909050247149799 -0.98909050163573087 8.357671221759233e-10 5.1955815360447703e-09 420 success
-1.7500000000000033 -0.98667167234806319 -0.98667167121918264 1.1288805445985872e-09 5.6099032645213402e-09 452 success
-1.7000000000000033 -0.98379045882439409 -0.98379045859077474 2.3361934609056334e-10 5.2673401141858267e-09 500 success
-1.6500000000000032 -0.98037558524223967 -0.98037558502336053 2.1887913703722006e-10 4.7518351444740353e-09 564 success
-1.6000000000000032 -0.97634838348993658 -0.97634838334464424 1.452923337197376e-10 4.230136549231982e-09 604 success
-1.5500000000000032 -0.97162273346652783 -0.97162273326201287 2.0451496052231732e-10 4.3454114091254754e-09 632 success
-1.5000000000000031 -0.96610514677799997 -0.96610514647531109 3.0268887396545097e-10 4.8113493664304065e-09 652 success
-1.4500000000000031 -0.95969502610326141 -0.95969502563745968 4.6580173052035434e-10 5.6643498076475256e-09 660 success
-1.400000000000003 -0.95228512044404934 -0.95228511976264929 6.814000474975046e-10 5.1626840171340586e-09 764 success
-1.350000000000003 -0.94376219715374088 -0.94376219612272461 1.0310162723570215e-09 5.6756123044730167e-09 820 success
-1.3000000000000029 -0.93400794663830999 -0.93400794494065309 1.6976569039428568e-09 5.6743799700838208e-09 856 success
-1.2500000000000029 -0.92290013012723726 -0.92290012825645895 1.8707783100424535e-09 6.3108297114054315e-09 896 success
-1.2000000000000028 -0.91031398112555828 -0.91031397822963611 2.8959221687330228e-09 5.3907423333080146e-09 1084 success
-1.1500000000000028 -0.89612384730172656 -0.89612384293691583 4.3648107350691134e-09 4.6962403891140592e-09 1196 success
