# t   y_fit   y_upper   y_lower
0 142.404 147.535 137.45
0.08 140.473 145.618 135.509
0.16 138.569 143.726 133.596
0.24 136.69 141.859 131.709
0.32 134.837 140.016 129.849
0.4 133.009 138.197 128.015
0.48 131.206 136.401 126.208
0.56 129.427 134.629 124.425
0.64 127.672 132.88 122.668
0.72 125.941 131.154 120.936
0.8 124.234 129.45 119.228
0.88 122.55 127.768 117.544
0.96 120.888 126.108 115.884
1.04 119.249 124.469 114.248
1.12 117.633 122.852 112.635
1.2 116.038 121.256 111.044
1.28 114.465 119.681 109.476
1.36 112.913 118.126 107.93
1.44 111.382 116.591 106.406
1.52 109.872 115.076 104.903
1.6 108.382 113.581 103.422
1.68 106.913 112.106 101.961
1.76 105.464 110.649 100.521
1.84 104.034 109.212 99.1017
1.92 102.623 107.793 97.7022
2 101.232 106.392 96.3225
2.08 99.8598 105.01 94.9622
2.16 98.5059 103.646 93.6212
2.24 97.1705 102.299 92.2991
2.32 95.8531 100.97 90.9957
2.4 94.5536 99.6581 89.7106
2.48 93.2717 98.3633 88.4438
2.56 92.0072 97.0853 87.1948
2.64 90.7599 95.824 85.9634
2.72 89.5294 94.579 84.7495
2.8 88.3157 93.3502 83.5527
2.88 87.1184 92.1374 82.3727
2.96 85.9373 90.9403 81.2095
3.04 84.7722 89.7588 80.0627
3.12 83.6229 88.5926 78.932
3.2 82.4892 87.4416 77.8174
3.28 81.3709 86.3055 76.7185
3.36 80.2678 85.1842 75.6351
3.44 79.1796 84.0775 74.567
3.52 78.1061 82.9851 73.5139
3.6 77.0472 81.907 72.4758
3.68 76.0027 80.8428 71.4523
3.76 74.9723 79.7925 70.4433
3.84 73.9559 78.7558 69.4485
3.92 72.9532 77.7326 68.4677
4 71.9642 76.7227 67.5009
4.08 70.9886 75.7259 66.5476
4.16 70.0262 74.742 65.6078
4.24 69.0768 73.7709 64.6813
4.32 68.1403 72.8125 63.7679
4.4 67.2165 71.8665 62.8674
4.48 66.3053 70.9328 61.9796
4.56 65.4063 70.0112 61.1044
4.64 64.5196 69.1016 60.2414
4.72 63.6449 68.2038 59.3907
4.8 62.7821 67.3177 58.552
4.88 61.9309 66.4431 57.7252
4.96 61.0913 65.5798 56.91
5.04 60.2631 64.7278 56.1063
5.12 59.4461 63.8869 55.314
5.2 58.6402 63.0568 54.5329
5.28 57.8452 62.2376 53.7628
5.36 57.0609 61.429 53.0035
5.44 56.2874 60.6309 52.255
5.52 55.5243 59.8431 51.5171
5.6 54.7715 59.0656 50.7896
5.68 54.029 58.2982 50.0723
5.76 53.2965 57.5408 49.3652
5.84 52.5739 56.7932 48.6681
5.92 51.8612 56.0554 47.9808
6 51.1581 55.3271 47.3032
6.08 50.4645 54.6082 46.6352
6.16 49.7804 53.8988 45.9767
6.24 49.1055 53.1985 45.3274
6.32 48.4398 52.5073 44.6873
6.4 47.783 51.8251 44.0562
6.48 47.1352 51.1518 43.4341
6.56 46.4962 50.4872 42.8207
6.64 45.8659 49.8313 42.216
6.72 45.2441 49.1839 41.6198
6.8 44.6307 48.5449 41.0321
6.88 44.0256 47.9142 40.4526
6.96 43.4287 47.2916 39.8814
7.04 42.84 46.6772 39.3182
7.12 42.2592 46.0708 38.7629
7.2 41.6863 45.4722 38.2155
7.28 41.1211 44.8814 37.6759
7.36 40.5636 44.2983 37.1438
7.44 40.0137 43.7228 36.6193
7.52 39.4712 43.1547 36.1021
7.6 38.9361 42.594 35.5923
7.68 38.4082 42.0406 35.0897
7.76 37.8875 41.4944 34.5942
7.84 37.3739 40.9553 34.1056
7.92 36.8672 40.4232 33.624
8 36.3674 39.898 33.1492
8.08 35.8743 39.3797 32.681
8.16 35.388 38.8681 32.2195
8.24 34.9082 38.3631 31.7645
8.32 34.435 37.8646 31.316
8.4 33.9681 37.3727 30.8737
8.48 33.5076 36.8871 30.4377
8.56 33.0534 36.4079 30.0079
8.64 32.6052 35.9349 29.5841
8.72 32.1632 35.468 29.1663
8.8 31.7272 35.0072 28.7545
8.88 31.297 34.5524 28.3484
8.96 30.8727 34.1035 27.9481
9.04 30.4542 33.6604 27.5534
9.12 30.0413 33.223 27.1643
9.2 29.634 32.7914 26.7807
9.28 29.2323 32.3654 26.4025
9.36 28.836 31.9449 26.0296
9.44 28.445 31.5298 25.6621
9.52 28.0594 31.1202 25.2997
9.6 27.679 30.7159 24.9424
9.68 27.3038 30.3168 24.5902
9.76 26.9336 29.9229 24.2429
9.84 26.5684 29.5342 23.9005
9.92 26.2083 29.1504 23.563
10 25.8529 28.7717 23.2303
10.08 25.5024 28.3979 22.9022
10.16 25.1567 28.0289 22.5788
10.24 24.8157 27.6648 22.2599
10.32 24.4792 27.3054 21.9456
10.4 24.1474 26.9506 21.6357
10.48 23.82 26.6005 21.3301
10.56 23.4971 26.2549 21.0289
10.64 23.1785 25.9137 20.732
10.72 22.8643 25.5771 20.4392
10.8 22.5543 25.2448 20.1506
10.88 22.2485 24.9168 19.866
10.96 21.9469 24.593 19.5854
11.04 21.6493 24.2735 19.3089
11.12 21.3558 23.9582 19.0362
11.2 21.0663 23.6469 18.7674
11.28 20.7807 23.3397 18.5023
11.36 20.499 23.0364 18.241
11.44 20.2211 22.7371 17.9835
11.52 19.9469 22.4417 17.7295
11.6 19.6765 22.1502 17.4791
