# t   ln(y)_fit   ln(y)_upper   ln(y)_lower
0 4.95866 4.99407 4.92326
0.08 4.94501 4.98099 4.90904
0.16 4.93137 4.96791 4.89482
0.24 4.91772 4.95483 4.8806
0.32 4.90407 4.94176 4.86637
0.4 4.89042 4.92868 4.85215
0.48 4.87677 4.9156 4.83793
0.56 4.86312 4.90253 4.82371
0.64 4.84947 4.88945 4.80948
0.72 4.83582 4.87637 4.79526
0.8 4.82217 4.86329 4.78104
0.88 4.80852 4.85022 4.76682
0.96 4.79487 4.83714 4.75259
1.04 4.78122 4.82406 4.73837
1.12 4.76757 4.81098 4.72415
1.2 4.75392 4.79791 4.70993
1.28 4.74027 4.78483 4.6957
1.36 4.72662 4.77175 4.68148
1.44 4.71297 4.75867 4.66726
1.52 4.69932 4.7456 4.65304
1.6 4.68567 4.73252 4.63881
1.68 4.67202 4.71944 4.62459
1.76 4.65837 4.70636 4.61037
1.84 4.64472 4.69329 4.59615
1.92 4.63107 4.68021 4.58192
2 4.61742 4.66713 4.5677
2.08 4.60377 4.65405 4.55348
2.16 4.59012 4.64098 4.53926
2.24 4.57647 4.6279 4.52503
2.32 4.56282 4.61482 4.51081
2.4 4.54917 4.60174 4.49659
2.48 4.53552 4.58867 4.48237
2.56 4.52187 4.57559 4.46814
2.64 4.50822 4.56251 4.45392
2.72 4.49457 4.54944 4.4397
2.8 4.48092 4.53636 4.42548
2.88 4.46727 4.52328 4.41125
2.96 4.45362 4.5102 4.39703
3.04 4.43997 4.49713 4.38281
3.12 4.42632 4.48405 4.36859
3.2 4.41267 4.47097 4.35436
3.28 4.39902 4.45789 4.34014
3.36 4.38537 4.44482 4.32592
3.44 4.37172 4.43174 4.3117
3.52 4.35807 4.41866 4.29747
3.6 4.34442 4.40558 4.28325
3.68 4.33077 4.39251 4.26903
3.76 4.31712 4.37943 4.25481
3.84 4.30347 4.36635 4.24059
3.92 4.28982 4.35327 4.22636
4 4.27617 4.3402 4.21214
4.08 4.26252 4.32712 4.19792
4.16 4.24887 4.31404 4.1837
4.24 4.23522 4.30096 4.16947
4.32 4.22157 4.28789 4.15525
4.4 4.20792 4.27481 4.14103
4.48 4.19427 4.26173 4.12681
4.56 4.18062 4.24866 4.11258
4.64 4.16697 4.23558 4.09836
