# t x1 y1 x2 y2 x3 y3
0 0.970004 -0.243088 -0.970004 0.243088 0 0
0.01 0.974606 -0.238749 -0.965281 0.247396 -0.00932462 -0.00864663
0.03 0.983452 -0.229989 -0.955465 0.255912 -0.0279869 -0.0259234
0.0610012 0.996249 -0.216219 -0.939248 0.268813 -0.0570009 -0.0525937
0.0930403 1.00835 -0.201791 -0.921166 0.28169 -0.0871847 -0.0798993
0.124633 1.01921 -0.18741 -0.901974 0.293842 -0.117241 -0.106432
0.155564 1.02887 -0.173216 -0.881835 0.305113 -0.147033 -0.131897
0.185836 1.03742 -0.159242 -0.860805 0.315437 -0.17661 -0.156195
0.215521 1.04497 -0.145481 -0.838898 0.324774 -0.206069 -0.179293
0.244713 1.05162 -0.131908 -0.816108 0.333082 -0.235514 -0.201174
0.273504 1.05747 -0.118494 -0.792426 0.340315 -0.265041 -0.221821
0.301971 1.06257 -0.105212 -0.767857 0.346411 -0.294709 -0.241199
0.330148 1.06697 -0.0920548 -0.742441 0.3513 -0.324527 -0.259246
0.358012 1.07071 -0.0790371 -0.716284 0.354905 -0.354423 -0.275868
0.385481 1.07381 -0.0662015 -0.689566 0.35716 -0.384245 -0.290959
0.412446 1.07631 -0.0536005 -0.662512 0.35803 -0.413795 -0.30443
0.438833 1.07823 -0.0412696 -0.63533 0.357516 -0.442902 -0.316246
0.464643 1.07962 -0.0292093 -0.608153 0.355645 -0.471471 -0.326436
0.489949 1.08052 -0.0173855 -0.581034 0.352455 -0.49949 -0.335069
0.514872 1.08096 -0.00574079 -0.553961 0.34797 -0.527003 -0.342229
0.53956 1.08096 0.00579375 -0.526878 0.342199 -0.554084 -0.347993
0.564169 1.08053 0.0172916 -0.499712 0.335132 -0.580818 -0.352424
0.588858 1.07966 0.0288271 -0.472377 0.326736 -0.607283 -0.355563
0.613782 1.07834 0.0404732 -0.444786 0.316961 -0.633552 -0.357434
0.639088 1.07653 0.0522989 -0.41686 0.305742 -0.659675 -0.358041
0.664907 1.07421 0.0643645 -0.388537 0.293008 -0.685671 -0.357372
0.691331 1.07131 0.0767123 -0.359801 0.2787 -0.711511 -0.355412
0.71839 1.06779 0.0893546 -0.330697 0.262798 -0.737096 -0.352152
0.746035 1.06361 0.102265 -0.301352 0.245345 -0.762255 -0.34761
0.774153 1.05872 0.115387 -0.271941 0.226453 -0.786779 -0.34184
0.802631 1.0531 0.12866 -0.242624 0.206267 -0.81048 -0.334927
0.831405 1.04672 0.142047 -0.21348 0.184918 -0.833244 -0.326965
0.860485 1.03953 0.155539 -0.184501 0.162495 -0.855029 -0.318035
0.889931 1.03145 0.16915 -0.155608 0.139049 -0.875841 -0.308199
0.919834 1.02239 0.182899 -0.126687 0.114605 -0.895706 -0.297504
0.950286 1.01225 0.196802 -0.0976048 0.0891825 -0.914644 -0.285985
0.981359 1.0009 0.210855 -0.0682385 0.0628238 -0.932659 -0.273679
1.01307 0.988223 0.225017 -0.0385005 0.0356225 -0.949723 -0.260639
1.04533 0.974145 0.23919 -0.00837869 0.00776968 -0.965766 -0.24696
1.07794 0.958652 0.253209 0.0220281 -0.0204136 -0.98068 -0.232796
1.11055 0.941827 0.266852 0.0525224 -0.0484988 -0.994349 -0.218354
1.14282 0.923811 0.279897 0.0828921 -0.0760517 -1.0067 -0.203846
1.17452 0.904748 0.292174 0.113005 -0.10274 -1.01775 -0.189434
1.20555 0.884737 0.303575 0.142835 -0.128366 -1.02757 -0.175209
1.23591 0.863832 0.314037 0.172438 -0.152833 -1.03627 -0.161204
1.26568 0.842049 0.323516 0.201907 -0.176101 -1.04396 -0.147414
1.29493 0.819384 0.331972 0.231349 -0.198155 -1.05073 -0.133817
1.32377 0.795829 0.33936 0.260859 -0.218978 -1.05669 -0.120382
1.35228 0.771383 0.345621 0.290505 -0.238538 -1.06189 -0.107083
1.3805 0.746082 0.350685 0.320304 -0.256778 -1.06639 -0.0939072
1.40841 0.720021 0.354476 0.350197 -0.273609 -1.07022 -0.0808677
