# phi u x y
0 1 1 0
0.05 1 0.99875 0.0499792
0.15 1 0.988771 0.149438
0.25 1 0.968912 0.247404
0.35 1 0.939373 0.342898
0.45 1 0.900447 0.434966
0.55 1 0.852525 0.522687
0.65 1 0.796084 0.605186
0.75 1 0.731689 0.681639
0.85 1 0.659983 0.75128
0.95 1 0.581683 0.813416
1.05 1 0.497571 0.867423
1.15 1 0.408487 0.912764
1.25 1 0.315322 0.948985
1.35 1 0.219007 0.975723
1.45 1 0.120503 0.992713
1.55 1 0.0207948 0.999784
1.65 1 -0.0791209 0.996865
1.75 1 -0.178246 0.983986
1.85 1 -0.27559 0.961275
1.95 1 -0.370181 0.92896
2.05 1 -0.461073 0.887362
2.15 1 -0.547358 0.836899
2.25 1 -0.628174 0.778073
2.35 1 -0.702713 0.711473
2.45 1 -0.770231 0.637765
2.55 1 -0.830054 0.557684
2.65 1 -0.881582 0.472031
2.75 1 -0.924302 0.381661
2.85 1 -0.957787 0.287478
2.95 1 -0.981702 0.190423
3.05 1 -0.995808 0.0914646
3.15 1 -0.999965 -0.00840725
3.25 1 -0.99413 -0.108195
3.35 1 -0.978362 -0.206902
3.45 1 -0.952818 -0.303542
3.55 1 -0.917755 -0.397148
3.65 1 -0.873521 -0.486787
3.75 1 -0.820559 -0.571561
3.85 1 -0.759399 -0.650625
3.95 1 -0.690651 -0.723188
4.05 1 -0.615002 -0.788525
4.15 1 -0.533209 -0.845984
4.25 1 -0.446087 -0.894989
4.35 1 -0.354509 -0.935053
4.45 1 -0.259389 -0.965773
4.55 1 -0.161676 -0.986844
4.65 1 -0.0623485 -0.998054
4.75 1 0.0376022 -0.999293
4.85 1 0.137177 -0.990547
4.95 1 0.235381 -0.971903
5.05 1 0.331234 -0.943549
5.15 1 0.423777 -0.905767
5.25 1 0.512085 -0.858934
5.35 1 0.595278 -0.80352
5.45 1 0.672522 -0.740077
5.55 1 0.743046 -0.66924
5.65 1 0.806147 -0.591716
5.75 1 0.861192 -0.508279
5.85 1 0.907633 -0.419764
5.95 1 0.945005 -0.327055
6.05 1 0.972935 -0.231078
6.15 1 0.991144 -0.132792
6.25 1 0.999449 -0.0331792
6.35 1 0.997769 0.066765
6.45 1 0.986119 0.166042
6.55 1 0.964616 0.26366
6.65 1 0.933474 0.358644
6.75 1 0.893006 0.450044
6.85 1 0.843616 0.536948
6.95 1 0.785796 0.618486
7.05 1 0.720124 0.693845
7.15 1 0.647258 0.762271
7.25 1 0.567924 0.823081
7.35 1 0.482916 0.875667
7.45 1 0.393083 0.919503
7.55 1 0.299322 0.954152
7.65 1 0.20257 0.979268
7.75 1 0.103794 0.994599
7.85 1 0.00398162 0.999992
7.95 1 -0.0958709 0.995394
8.05 1 -0.194765 0.98085
8.15 1 -0.291714 0.956506
8.25 1 -0.385748 0.922604
8.35 1 -0.475928 0.879484
8.45 1 -0.561352 0.827577
8.55 1 -0.641167 0.767401
8.65 1 -0.714576 0.699557
8.75 1 -0.780846 0.624724
8.85 1 -0.839313 0.543648
8.95 1 -0.889394 0.457141
9.05 1 -0.930589 0.366066
9.15 1 -0.962485 0.271333
9.25 1 -0.984765 0.173889
9.35 1 -0.997205 0.0747083
9.45 1 -0.999682 -0.0252194
9.55 1 -0.99217 -0.124895
9.65 1 -0.974745 -0.223323
9.75 1 -0.94758 -0.319519
9.85 1 -0.910947 -0.412523
9.95 1 -0.865213 -0.501405
10.05 1 -0.810833 -0.585277
10.15 1 -0.748352 -0.663302
10.25 1 -0.678394 -0.734698
10.35 1 -0.601657 -0.798754
10.45 1 -0.518909 -0.854829
10.55 1 -0.430976 -0.902363
10.65 1 -0.338737 -0.940881
10.75 1 -0.243113 -0.969998
10.85 1 -0.145061 -0.989423
10.95 1 -0.0455585 -0.998962
11.05 1 0.0543988 -0.998519
11.15 1 0.153813 -0.9881
11.25 1 0.25169 -0.967808
11.35 1 0.347052 -0.937846
11.45 1 0.438946 -0.898513
11.55 1 0.526455 -0.850203
11.65 1 0.608704 -0.793398
11.75 1 0.68487 -0.728665
11.85 1 0.754194 -0.656652
11.95 1 0.815982 -0.578077
12.05 1 0.869617 -0.493727
12.15 1 0.914563 -0.404444
12.25 1 0.950371 -0.311119
12.35 1 0.976683 -0.214686
12.45 1 0.993237 -0.116108
12.55 1 0.999866 -0.0163699
12.65 1 0.996505 0.0835319
12.75 1 0.983187 0.182599
12.85 1 0.960046 0.279842
12.95 1 0.927312 0.374289
13.05 1 0.885313 0.464995
13.15 1 0.834468 0.551056
13.25 1 0.775285 0.631611
13.35 1 0.708356 0.705855
