# phi u x y
0 1 1 0
0.05 0.97501 1.02435 0.0512601
0.127893 0.936228 1.05939 0.136233
0.20902 0.89625 1.09148 0.231521
0.290168 0.856943 1.11816 0.333876
0.371001 0.818726 1.13831 0.44282
0.451475 0.781853 1.15086 0.558025
0.531581 0.746552 1.15465 0.678984
0.61131 0.71303 1.14848 0.804932
0.690658 0.681478 1.13111 0.934798
0.769623 0.652068 1.10138 1.06717
0.848206 0.624952 1.05821 1.20024
0.926412 0.600265 1.00073 1.33186
1.00425 0.57812 0.928391 1.45949
1.08173 0.558613 0.841009 1.58029
1.15888 0.541822 0.738921 1.69125
1.23572 0.527807 0.623026 1.78927
1.31229 0.516613 0.494827 1.87137
1.38863 0.508273 0.356424 1.93489
1.46478 0.502807 0.210446 1.97767
1.54081 0.500225 0.0599311 1.9982
1.61678 0.500528 -0.0918323 1.99578
1.69274 0.503713 -0.241493 1.97051
1.76877 0.509766 -0.385828 1.92337
1.84492 0.518669 -0.521923 1.85602
1.92126 0.530392 -0.647312 1.77079
1.99782 0.544899 -0.760074 1.67041
2.07465 0.562137 -0.85888 1.55785
2.1518 0.582043 -0.942988 1.43617
2.22927 0.604536 -1.0122 1.30832
2.30709 0.629519 -1.06676 1.17703
2.38528 0.656878 -1.10732 1.0447
2.46384 0.68648 -1.13476 0.913414
2.54279 0.718172 -1.15016 0.784847
2.62211 0.751785 -1.15469 0.660334
2.70182 0.787131 -1.14955 0.540873
2.78189 0.824003 -1.13592 0.427174
2.86234 0.862181 -1.11492 0.319699
2.94315 0.901426 -1.08758 0.218706
3.0243 0.941489 -1.05485 0.124294
3.1058 0.982107 -1.01757 0.0364377
3.18762 1.02301 -0.976475 -0.0449801
3.26976 1.06391 -0.932219 -0.120142
3.3522 1.10453 -0.885357 -0.189274
3.43493 1.14458 -0.836365 -0.252628
3.51793 1.18376 -0.785645 -0.310468
3.60119 1.22179 -0.733537 -0.363063
3.68469 1.2584 -0.680321 -0.410674
3.76841 1.29329 -0.626231 -0.453552
3.85235 1.3262 -0.571459 -0.491935
3.93647 1.35689 -0.516161 -0.52604
4.02077 1.38511 -0.46046 -0.556068
4.10522 1.41063 -0.404458 -0.582198
4.18982 1.43327 -0.348231 -0.604589
4.27454 1.45283 -0.291841 -0.623379
4.35936 1.46916 -0.235333 -0.638682
4.44427 1.48214 -0.178743 -0.650595
4.52924 1.49164 -0.122096 -0.659192
4.61427 1.4976 -0.0654123 -0.664526
4.69933 1.49996 -0.00870628 -0.666629
4.7844 1.4987 0.048009 -0.665514
4.86947 1.49384 0.104721 -0.661172
4.95452 1.48541 0.161416 -0.653575
5.03952 1.47348 0.218075 -0.642672
5.12447 1.45814 0.274675 -0.628394
5.20934 1.43952 0.331184 -0.610648
5.29411 1.41776 0.387559 -0.589322
5.37877 1.39303 0.443744 -0.564281
5.4633 1.36553 0.499665 -0.53537
5.54769 1.33548 0.555229 -0.502409
5.6319 1.3031 0.610317 -0.465203
5.71593 1.26866 0.664783 -0.42353
5.79977 1.2324 0.718442 -0.377156
5.88338 1.19462 0.771072 -0.325826
5.96676 1.15558 0.822402 -0.269274
6.04989 1.11559 0.872103 -0.207228
6.13276 1.07493 0.919787 -0.139414
6.21534 1.0339 0.964991 -0.0655686
6.29763 0.992778 1.00717 0.0145495
6.37961 0.951863 1.04569 0.101142
6.46126 0.911431 1.07983 0.194352
6.54258 0.871751 1.10874 0.294232
6.62355 0.833083 1.1315 0.400721
6.70417 0.795672 1.14707 0.513599
6.78441 0.759749 1.15432 0.63245
6.86429 0.725528 1.15207 0.756614
6.94378 0.693207 1.13909 0.88514
7.02289 0.662965 1.11419 1.01675
7.10162 0.634962 1.07623 1.14979
7.17997 0.609339 1.02427 1.28224
7.25794 0.586217 0.957614 1.4117
7.33556 0.565699 0.875928 1.53545
7.41283 0.54787 0.779347 1.6505
7.48979 0.532795 0.668547 1.75379
7.56645 0.520526 0.544801 1.84227
7.64287 0.5111 0.409987 1.91313
7.71909 0.504542 0.266545 1.96399
7.79516 0.500865 0.117374 1.99309
7.87114 0.500074 -0.0343114 1.99941
7.9471 0.502166 -0.18516 1.98275
8.02309 0.507133 -0.33188 1.94374
8.09919 0.514957 -0.471419 1.88382
8.17545 0.525614 -0.601128 1.80507
8.25192 0.539069 -0.71887 1.7101
8.32865 0.555278 -0.82309 1.6018
8.40567 0.57418 -0.912827 1.48323
8.48301 0.595702 -0.987681 1.35739
