# phi u x y
0 1 1 0
0.05 0.975023 1.02434 0.0512595
0.128528 0.935992 1.05957 0.13694
0.210366 0.895796 1.09172 0.233109
0.292203 0.856353 1.11824 0.336382
0.373689 0.818082 1.13801 0.44623
0.454786 0.781237 1.14991 0.562275
0.535482 0.74604 1.15278 0.683952
0.615773 0.712696 1.14541 0.810429
0.695658 0.68139 1.12657 0.940563
0.775135 0.65229 1.09511 1.07286
0.854209 0.625542 1.04999 1.20544
0.932887 0.601274 0.990424 1.33607
1.01118 0.579597 0.915913 1.46215
1.08911 0.560598 0.826397 1.58083
1.16669 0.544352 0.722323 1.68908
1.24396 0.530914 0.604714 1.78383
1.32095 0.520324 0.475194 1.86221
1.39771 0.512612 0.335967 1.92165
1.4743 0.507793 0.189738 1.96015
1.55077 0.505875 0.0395875 1.97638
1.62719 0.506859 -0.111193 1.9698
1.70362 0.510737 -0.259291 1.94071
1.78013 0.517496 -0.401558 1.8902
1.85678 0.527114 -0.535179 1.82007
1.93363 0.539561 -0.657801 1.7327
2.01073 0.554796 -0.767627 1.63083
2.08811 0.572767 -0.863441 1.51746
2.16582 0.593406 -0.944601 1.39556
2.24388 0.61663 -1.01099 1.26802
2.32231 0.642338 -1.06291 1.13749
2.40113 0.670412 -1.10105 1.00629
2.48034 0.700716 -1.12631 0.876403
2.55994 0.733094 -1.13977 0.749433
2.63995 0.767372 -1.14259 0.626646
2.72035 0.803357 -1.13596 0.508984
2.80115 0.84084 -1.12103 0.397112
2.88233 0.879596 -1.09889 0.291458
2.9639 0.919384 -1.07056 0.192257
3.04584 0.95995 -1.03695 0.0995918
3.12815 1.00103 -0.998882 0.0134292
3.21081 1.04234 -0.957078 -0.066352
3.29381 1.08362 -0.912165 -0.139933
3.37715 1.12456 -0.864683 -0.207536
3.46081 1.16487 -0.815096 -0.269406
3.54478 1.20427 -0.763794 -0.3258
3.62905 1.24247 -0.711108 -0.376975
3.7136 1.27917 -0.657312 -0.423182
3.79843 1.31411 -0.602635 -0.46466
3.88352 1.34701 -0.547265 -0.501635
3.96885 1.37761 -0.491357 -0.534312
4.05441 1.40568 -0.435036 -0.56288
4.14018 1.43098 -0.378405 -0.587505
4.22615 1.45331 -0.321546 -0.608333
4.31229 1.47248 -0.264525 -0.62549
4.39859 1.48834 -0.207398 -0.63908
4.48501 1.50074 -0.150208 -0.649187
4.57154 1.50958 -0.0929931 -0.655876
4.65816 1.51478 -0.0357848 -0.659191
4.74482 1.51629 0.021387 -0.659156
