# z  cspline(z)  cos(z)  cspline'(z)  -sin(z)  cspline_integ(z)  sin(z)
0 1 1 -0.313431 -0 0 0
0.018 0.994357 0.999838 -0.313573 -0.017999 0.0179492 0.017999
0.036 0.98871 0.999352 -0.314 -0.0359922 0.0357968 0.0359922
0.054 0.983052 0.998542 -0.314711 -0.0539738 0.0535427 0.0539738
0.072 0.977378 0.997409 -0.315706 -0.0719378 0.0711866 0.0719378
0.09 0.971685 0.995953 -0.316985 -0.0898785 0.0887282 0.0898785
0.108 0.965965 0.994174 -0.318549 -0.10779 0.106167 0.10779
0.126 0.960215 0.992072 -0.320397 -0.125667 0.123503 0.125667
0.144 0.954429 0.98965 -0.32253 -0.143503 0.140735 0.143503
0.162 0.948602 0.986907 -0.324947 -0.161292 0.157862 0.161292
0.18 0.942729 0.983844 -0.327648 -0.17903 0.174884 0.17903
0.198 0.936805 0.980462 -0.330634 -0.196709 0.1918 0.196709
0.216 0.930825 0.976763 -0.333904 -0.214324 0.208609 0.214324
0.234 0.924783 0.972747 -0.337458 -0.23187 0.225309 0.23187
0.252 0.918675 0.968416 -0.341297 -0.249341 0.2419 0.249341
0.27 0.912495 0.963771 -0.34542 -0.266731 0.258381 0.266731
0.288 0.906238 0.958814 -0.349827 -0.284035 0.27475 0.284035
0.306 0.899899 0.953546 -0.354518 -0.301247 0.291005 0.301247
0.324 0.893474 0.94797 -0.359494 -0.318361 0.307146 0.318361
0.342 0.886956 0.942086 -0.364755 -0.335372 0.32317 0.335372
0.36 0.880341 0.935897 -0.370299 -0.352274 0.339075 0.352274
0.378 0.873623 0.929405 -0.376128 -0.369062 0.354861 0.369062
0.396 0.866798 0.922611 -0.382242 -0.385731 0.370525 0.385731
0.414 0.859861 0.915519 -0.38864 -0.402275 0.386065 0.402275
0.432 0.852806 0.90813 -0.395322 -0.418688 0.40148 0.418688
0.45 0.845628 0.900447 -0.402288 -0.434966 0.416766 0.434966
0.468 0.838321 0.892472 -0.409539 -0.451102 0.431921 0.451102
0.486 0.830882 0.884208 -0.417074 -0.467093 0.446944 0.467093
0.504 0.823305 0.875658 -0.424893 -0.482932 0.461832 0.482932
0.522 0.815585 0.866824 -0.432997 -0.498615 0.476583 0.498615
0.54 0.807716 0.857709 -0.441385 -0.514136 0.491192 0.514136
0.558 0.799693 0.848316 -0.450058 -0.529491 0.505659 0.529491
0.576 0.791512 0.838648 -0.459014 -0.544674 0.51998 0.544674
0.594 0.783167 0.828709 -0.468255 -0.55968 0.534153 0.55968
0.612 0.774653 0.818501 -0.477781 -0.574506 0.548173 0.574506
0.63 0.765965 0.808028 -0.487591 -0.589145 0.562039 0.589145
0.648 0.757098 0.797293 -0.497685 -0.603593 0.575747 0.603593
0.666 0.748047 0.786299 -0.508063 -0.617846 0.589294 0.617846
0.684 0.738806 0.775051 -0.518726 -0.631898 0.602676 0.631898
0.702 0.729371 0.763552 -0.529673 -0.645746 0.61589 0.645746
0.72 0.719736 0.751806 -0.540905 -0.659385 0.628932 0.659385
0.738 0.709896 0.739816 -0.552421 -0.67281 0.641799 0.67281
0.756 0.699847 0.727586 -0.564221 -0.686017 0.654487 0.686017
0.774 0.689583 0.71512 -0.576306 -0.699001 0.666992 0.699001
0.792 0.679098 0.702423 -0.588675 -0.71176 0.67931 0.71176
0.81 0.668389 0.689498 -0.601328 -0.724287 0.691438 0.724287
0.828 0.657449 0.67635 -0.614265 -0.73658 0.703371 0.73658
0.846 0.646274 0.662983 -0.627487 -0.748634 0.715105 0.748634
0.864 0.634858 0.649401 -0.640994 -0.760446 0.726636 0.760446
0.882 0.623196 0.635608 -0.654784 -0.772012 0.737958 0.772012
0.9 0.611284 0.62161 -0.668859 -0.783327 0.749069 0.783327
0.918 0.599115 0.60741 -0.683218 -0.794388 0.759963 0.794388
0.936 0.586686 0.593014 -0.697862 -0.805192 0.770636 0.805192
0.954 0.573991 0.578425 -0.71279 -0.815736 0.781082 0.815736
0.972 0.561024 0.563649 -0.728002 -0.826015 0.791298 0.826015
0.99 0.547781 0.54869 -0.743499 -0.836026 0.801277 0.836026
1.008 0.534256 0.533553 -0.759207 -0.845766 0.811016 0.845766
1.026 0.520452 0.518244 -0.774573 -0.855233 0.820509 0.855233
1.044 0.506375 0.502767 -0.789483 -0.864422 0.829751 0.864422
1.062 0.492033 0.487126 -0.803937 -0.873331 0.838737 0.873331
1.08 0.477436 0.471328 -0.817935 -0.881958 0.847462 0.881958
1.098 0.46259 0.455378 -0.831477 -0.890298 0.855923 0.890298
1.116 0.447505 0.439279 -0.844563 -0.898351 0.864114 0.898351
1.134 0.432189 0.423039 -0.857193 -0.906112 0.872032 0.906112
1.152 0.416649 0.406661 -0.869367 -0.913579 0.879672 0.913579
1.17 0.400894 0.390152 -0.881085 -0.920751 0.88703 0.920751
1.188 0.384933 0.373516 -0.892347 -0.927624 0.894103 0.927624
1.206 0.368772 0.356759 -0.903153 -0.934196 0.900886 0.934196
1.224 0.352422 0.339887 -0.913502 -0.940466 0.907377 0.940466
1.242 0.335889 0.322904 -0.923396 -0.946432 0.913572 0.946432
1.26 0.319182 0.305817 -0.932834 -0.95209 0.919468 0.95209
1.278 0.30231 0.288631 -0.941816 -0.957441 0.925062 0.957441
1.296 0.28528 0.271351 -0.950341 -0.96248 0.93035 0.96248
1.314 0.2681 0.253983 -0.958411 -0.967209 0.935331 0.967209
1.332 0.25078 0.236533 -0.966025 -0.971623 0.940001 0.971623
1.35 0.233326 0.219007 -0.973182 -0.975723 0.944358 0.975723
1.368 0.215748 0.201409 -0.979884 -0.979507 0.9484 0.979507
1.386 0.198053 0.183746 -0.986129 -0.982974 0.952125 0.982974
1.404 0.18025 0.166024 -0.991919 -0.986122 0.955529 0.986122
1.422 0.162347 0.148248 -0.997252 -0.98895 0.958613 0.98895
1.44 0.144352 0.130424 -1.00213 -0.991458 0.961373 0.991458
1.458 0.126273 0.112557 -1.00655 -0.993645 0.963809 0.993645
1.476 0.108118 0.0946544 -1.01052 -0.99551 0.965919 0.99551
1.494 0.0898969 0.0767209 -1.01403 -0.997053 0.967701 0.997053
1.512 0.0716162 0.0587625 -1.01708 -0.998272 0.969155 0.998272
1.53 0.0532847 0.040785 -1.01968 -0.999168 0.970279 0.999168
1.548 0.0349106 0.0227944 -1.02182 -0.99974 0.971073 0.99974
1.566 0.016502 0.00479631 -1.0235 -0.999988 0.971535 0.999988
1.584 -0.0019328 -0.0132033 -1.02473 -0.999913 0.971667 0.999913
1.602 -0.0203856 -0.0311986 -1.02551 -0.999513 0.971466 0.999513
1.62 -0.0388483 -0.0491838 -1.02582 -0.99879 0.970933 0.99879
1.638 -0.0573125 -0.0671531 -1.02568 -0.997743 0.970067 0.997743
1.656 -0.0757702 -0.0851006 -1.02509 -0.996372 0.968869 0.996372
1.674 -0.094213 -0.103021 -1.02404 -0.994679 0.96734 0.994679
1.692 -0.112633 -0.120907 -1.02253 -0.992664 0.965478 0.992664
1.71 -0.131021 -0.138755 -1.02057 -0.990327 0.963285 0.990327
1.728 -0.149371 -0.156557 -1.01815 -0.987669 0.960761 0.987669
1.746 -0.167672 -0.174309 -1.01527 -0.984691 0.957908 0.984691
1.764 -0.185918 -0.192004 -1.01194 -0.981394 0.954726 0.981394
1.782 -0.204099 -0.209637 -1.00816 -0.977779 0.951215 0.977779
1.8 -0.222209 -0.227202 -1.00391 -0.973848 0.947378 0.973848
1.818 -0.240237 -0.244694 -0.999215 -0.9696 0.943216 0.9696
1.836 -0.258178 -0.262106 -0.994059 -0.965039 0.93873 0.965039
1.854 -0.276021 -0.279433 -0.988448 -0.960165 0.933922 0.960165
1.872 -0.293759 -0.29667 -0.982381 -0.95498 0.928794 0.95498
1.89 -0.311384 -0.313811 -0.975858 -0.949486 0.923348 0.949486
1.908 -0.328887 -0.33085 -0.968879 -0.943684 0.917585 0.943684
1.926 -0.346261 -0.347781 -0.961443 -0.937576 0.911509 0.937576
1.944 -0.363496 -0.3646 -0.953552 -0.931164 0.905121 0.931164
1.962 -0.380586 -0.381301 -0.945205 -0.924451 0.898424 0.924451
1.98 -0.397521 -0.397879 -0.936401 -0.917438 0.89142 0.917438
1.998 -0.414294 -0.414327 -0.927142 -0.910128 0.884114 0.910128
2.016 -0.430896 -0.430642 -0.91754 -0.902523 0.876507 0.902523
2.034 -0.447324 -0.446816 -0.907766 -0.894626 0.868603 0.894626
2.052 -0.463575 -0.462846 -0.897822 -0.886438 0.860404 0.886438
2.07 -0.479645 -0.478727 -0.887709 -0.877964 0.851915 0.877964
2.088 -0.495531 -0.494451 -0.877426 -0.869205 0.843138 0.869205
2.106 -0.511231 -0.510016 -0.866974 -0.860165 0.834077 0.860165
2.124 -0.526741 -0.525416 -0.856352 -0.850846 0.824735 0.850846
2.142 -0.542059 -0.540645 -0.84556 -0.841251 0.815115 0.841251
2.16 -0.55718 -0.555699 -0.834598 -0.831383 0.805222 0.831383
2.178 -0.572103 -0.570573 -0.823467 -0.821247 0.795058 0.821247
2.196 -0.586824 -0.585262 -0.812166 -0.810844 0.784628 0.810844
2.214 -0.60134 -0.599762 -0.800695 -0.800178 0.773934 0.800178
2.232 -0.615648 -0.614067 -0.789055 -0.789254 0.762981 0.789254
2.25 -0.629745 -0.628174 -0.777244 -0.778073 0.751772 0.778073
2.268 -0.643628 -0.642076 -0.765265 -0.766641 0.740311 0.766641
2.286 -0.657294 -0.655771 -0.753115 -0.75496 0.728602 0.75496
2.304 -0.670739 -0.669254 -0.740796 -0.743034 0.71665 0.743034
2.322 -0.683961 -0.682519 -0.728307 -0.730868 0.704457 0.730868
2.34 -0.696957 -0.695563 -0.715648 -0.718465 0.692029 0.718465
2.358 -0.709723 -0.708382 -0.70282 -0.705829 0.679368 0.705829
2.376 -0.722257 -0.720972 -0.689822 -0.692964 0.66648 0.692964
2.394 -0.734556 -0.733328 -0.676654 -0.679875 0.653368 0.679875
2.412 -0.746616 -0.745446 -0.663317 -0.666566 0.640037 0.666566
2.43 -0.758434 -0.757323 -0.64981 -0.653041 0.626491 0.653041
2.448 -0.770008 -0.768954 -0.636133 -0.639304 0.612735 0.639304
2.466 -0.781334 -0.780336 -0.622286 -0.62536 0.598773 0.62536
2.484 -0.792409 -0.791466 -0.60827 -0.611213 0.584609 0.611213
2.502 -0.803231 -0.802339 -0.594084 -0.596869 0.570247 0.596869
2.52 -0.813795 -0.812952 -0.579729 -0.582331 0.555694 0.582331
2.538 -0.8241 -0.823302 -0.565203 -0.567604 0.540952 0.567604
2.556 -0.834142 -0.833385 -0.550508 -0.552693 0.526028 0.552693
2.574 -0.843917 -0.843198 -0.535644 -0.537604 0.510925 0.537604
2.592 -0.853424 -0.852737 -0.520609 -0.52234 0.495648 0.52234
2.61 -0.862658 -0.862001 -0.505405 -0.506907 0.480203 0.506907
2.628 -0.871618 -0.870985 -0.490032 -0.49131 0.464594 0.49131
2.646 -0.880298 -0.879687 -0.474488 -0.475553 0.448827 0.475553
2.664 -0.888698 -0.888104 -0.458775 -0.459643 0.432905 0.459643
2.682 -0.896813 -0.896233 -0.442892 -0.443583 0.416835 0.443583
2.7 -0.904641 -0.904072 -0.426839 -0.42738 0.400622 0.42738
2.718 -0.912179 -0.911618 -0.410617 -0.411038 0.38427 0.411038
2.736 -0.919422 -0.918869 -0.394225 -0.394563 0.367785 0.394563
2.754 -0.92637 -0.925822 -0.377663 -0.377961 0.351172 0.377961
2.772 -0.933017 -0.932475 -0.360932 -0.361236 0.334438 0.361236
2.79 -0.939362 -0.938825 -0.344031 -0.344393 0.317586 0.344393
2.808 -0.945401 -0.944872 -0.32696 -0.32744 0.300622 0.32744
2.826 -0.951132 -0.950613 -0.30972 -0.31038 0.283553 0.31038
2.844 -0.95655 -0.956045 -0.29231 -0.29322 0.266383 0.29322
2.862 -0.961654 -0.961168 -0.27473 -0.275964 0.249119 0.275964
2.88 -0.966439 -0.965979 -0.25698 -0.258619 0.231766 0.258619
2.898 -0.970904 -0.970478 -0.239061 -0.241191 0.214329 0.241191
2.916 -0.975045 -0.974662 -0.220972 -0.223684 0.196815 0.223684
2.934 -0.978858 -0.97853 -0.202713 -0.206105 0.17923 0.206105
2.952 -0.982341 -0.982081 -0.184285 -0.188459 0.161578 0.188459
2.97 -0.985491 -0.985314 -0.165687 -0.170752 0.143867 0.170752
2.988 -0.988305 -0.988228 -0.146919 -0.152989 0.126103 0.152989
3.006 -0.990779 -0.990821 -0.127997 -0.135178 0.10829 0.135178
3.024 -0.992913 -0.993094 -0.109123 -0.117322 0.0904367 0.117322
3.042 -0.994708 -0.995045 -0.0903571 -0.0994281 0.0725476 0.0994281
3.06 -0.996167 -0.996673 -0.0717007 -0.0815022 0.0546292 0.0815022
3.078 -0.99729 -0.997979 -0.0531535 -0.0635498 0.0366876 0.0635498
3.096 -0.998081 -0.998961 -0.0347155 -0.0455769 0.0187287 0.0455769
3.114 -0.998541 -0.999619 -0.0163867 -0.0275892 0.00075863 0.0275892
3.132 -0.998672 -0.999954 0.00183295 -0.00959251 -0.0172168 0.00959251
3.15 -0.998475 -0.999965 0.0199434 0.00840725 -0.0351916 -0.00840725
3.168 -0.997954 -0.999651 0.0379447 0.0264043 -0.0531599 -0.0264043
3.186 -0.99711 -0.999014 0.0558368 0.0443928 -0.071116 -0.0443928
3.204 -0.995945 -0.998053 0.0736197 0.0623668 -0.089054 -0.0623668
3.222 -0.99446 -0.996769 0.0912934 0.0803207 -0.106968 -0.0803207
3.24 -0.992659 -0.995162 0.108858 0.0982486 -0.124853 -0.0982486
3.258 -0.990542 -0.993232 0.126313 0.116145 -0.142702 -0.116145
3.276 -0.988112 -0.990981 0.14366 0.134003 -0.16051 -0.134003
3.294 -0.985371 -0.988408 0.160897 0.151818 -0.178272 -0.151818
3.312 -0.982321 -0.985516 0.178024 0.169584 -0.195982 -0.169584
3.33 -0.978963 -0.982304 0.195043 0.187295 -0.213634 -0.187295
3.348 -0.9753 -0.978774 0.211952 0.204945 -0.231223 -0.204945
3.366 -0.971333 -0.974926 0.228753 0.222529 -0.248743 -0.222529
3.384 -0.967065 -0.970763 0.245444 0.24004 -0.266189 -0.24004
3.402 -0.962498 -0.966285 0.262026 0.257474 -0.283555 -0.257474
3.42 -0.957633 -0.961494 0.278499 0.274825 -0.300837 -0.274825
3.438 -0.952473 -0.956392 0.294862 0.292086 -0.318028 -0.292086
3.456 -0.947019 -0.95098 0.311116 0.309253 -0.335124 -0.309253
3.474 -0.941273 -0.94526 0.327262 0.32632 -0.352119 -0.32632
3.492 -0.935238 -0.939233 0.343298 0.34328 -0.369008 -0.34328
3.51 -0.928915 -0.932902 0.359224 0.36013 -0.385786 -0.36013
3.528 -0.922306 -0.926269 0.375042 0.376863 -0.402448 -0.376863
3.546 -0.915414 -0.919336 0.390751 0.393474 -0.418987 -0.393474
3.564 -0.90824 -0.912105 0.40635 0.409957 -0.435401 -0.409957
3.582 -0.900786 -0.904578 0.42184 0.426308 -0.451682 -0.426308
3.6 -0.893055 -0.896758 0.437221 0.44252 -0.467827 -0.44252
3.618 -0.885047 -0.888648 0.452493 0.45859 -0.483831 -0.45859
3.636 -0.876765 -0.88025 0.467655 0.47451 -0.499687 -0.47451
3.654 -0.868212 -0.871567 0.482709 0.490277 -0.515393 -0.490277
3.672 -0.859389 -0.862601 0.497653 0.505885 -0.530941 -0.505885
3.69 -0.850297 -0.853356 0.512488 0.521329 -0.546329 -0.521329
3.708 -0.84094 -0.843834 0.527214 0.536604 -0.561551 -0.536604
3.726 -0.831318 -0.834039 0.54183 0.551705 -0.576601 -0.551705
3.744 -0.821434 -0.823974 0.556338 0.566628 -0.591476 -0.566628
3.762 -0.811291 -0.813642 0.570736 0.581367 -0.606171 -0.581367
3.78 -0.800889 -0.803046 0.585025 0.595917 -0.620681 -0.595917
3.798 -0.79023 -0.79219 0.599205 0.610275 -0.635002 -0.610275
3.816 -0.779318 -0.781077 0.613276 0.624435 -0.649128 -0.624435
3.834 -0.768153 -0.769711 0.627237 0.638392 -0.663056 -0.638392
3.852 -0.756738 -0.758096 0.64109 0.652143 -0.67678 -0.652143
3.87 -0.745075 -0.746236 0.654833 0.665682 -0.690297 -0.665682
3.888 -0.733165 -0.734133 0.668467 0.679006 -0.703601 -0.679006
3.906 -0.72101 -0.721793 0.681992 0.692109 -0.716689 -0.692109
3.924 -0.708614 -0.709218 0.695407 0.704989 -0.729556 -0.704989
3.942 -0.695976 -0.696414 0.708714 0.71764 -0.742198 -0.71764
3.96 -0.683101 -0.683385 0.721911 0.730058 -0.75461 -0.730058
3.978 -0.669988 -0.670134 0.734999 0.74224 -0.766788 -0.74224
3.996 -0.656641 -0.656666 0.747978 0.754182 -0.778728 -0.754182
4.014 -0.643062 -0.642985 0.76078 0.765879 -0.790426 -0.765879
4.032 -0.629255 -0.629095 0.773253 0.777328 -0.801877 -0.777328
4.05 -0.615227 -0.615002 0.785392 0.788525 -0.813078 -0.788525
4.068 -0.600983 -0.60071 0.797197 0.799467 -0.824024 -0.799467
4.086 -0.58653 -0.586223 0.808668 0.81015 -0.834712 -0.81015
4.104 -0.571873 -0.571546 0.819804 0.82057 -0.845138 -0.82057
4.122 -0.557019 -0.556684 0.830607 0.830724 -0.855298 -0.830724
4.14 -0.541973 -0.541642 0.841075 0.840609 -0.865189 -0.840609
4.158 -0.526742 -0.526424 0.851209 0.850222 -0.874808 -0.850222
4.176 -0.511332 -0.511035 0.861009 0.85956 -0.884151 -0.85956
4.194 -0.495748 -0.495481 0.870475 0.868619 -0.893215 -0.868619
4.212 -0.479997 -0.479767 0.879607 0.877396 -0.901997 -0.877396
4.23 -0.464084 -0.463897 0.888405 0.885889 -0.910494 -0.885889
4.248 -0.448016 -0.447877 0.896868 0.894095 -0.918703 -0.894095
4.266 -0.431799 -0.431711 0.904998 0.902012 -0.926621 -0.902012
