# z   linterp(z)   cos(z)   linterp_integ(z)   sin(z)
0 1 1 0 0
0.018 0.991725 0.999838 0.0179255 0.017999
0.036 0.983451 0.999352 0.0357021 0.0359922
0.054 0.975176 0.998542 0.0533298 0.0539738
0.072 0.966902 0.997409 0.0708085 0.0719378
0.09 0.958627 0.995953 0.0881382 0.0898785
0.108 0.950353 0.994174 0.105319 0.10779
0.126 0.942078 0.992072 0.122351 0.125667
0.144 0.933804 0.98965 0.139234 0.143503
0.162 0.925529 0.986907 0.155968 0.161292
0.18 0.917254 0.983844 0.172553 0.17903
0.198 0.90898 0.980462 0.188989 0.196709
0.216 0.900705 0.976763 0.205276 0.214324
0.234 0.892431 0.972747 0.221414 0.23187
0.252 0.884156 0.968416 0.237404 0.249341
0.27 0.875882 0.963771 0.253244 0.266731
0.288 0.867607 0.958814 0.268935 0.284035
0.306 0.859333 0.953546 0.284478 0.301247
0.324 0.851058 0.94797 0.299871 0.318361
0.342 0.842783 0.942086 0.315116 0.335372
0.36 0.834509 0.935897 0.330212 0.352274
0.378 0.826234 0.929405 0.345158 0.369062
0.396 0.81796 0.922611 0.359956 0.385731
0.414 0.809685 0.915519 0.374605 0.402275
0.432 0.801411 0.90813 0.389105 0.418688
0.45 0.793136 0.900447 0.403456 0.434966
0.468 0.784861 0.892472 0.417658 0.451102
0.486 0.776587 0.884208 0.431711 0.467093
0.504 0.768312 0.875658 0.445615 0.482932
0.522 0.760038 0.866824 0.45937 0.498615
0.54 0.751763 0.857709 0.472976 0.514136
0.558 0.743489 0.848316 0.486433 0.529491
0.576 0.735214 0.838648 0.499742 0.544674
0.594 0.72694 0.828709 0.512901 0.55968
0.612 0.718665 0.818501 0.525911 0.574506
0.63 0.71039 0.808028 0.538773 0.589145
0.648 0.702116 0.797293 0.551486 0.603593
0.666 0.693841 0.786299 0.564049 0.617846
0.684 0.685567 0.775051 0.576464 0.631898
0.702 0.677292 0.763552 0.58873 0.645746
0.72 0.669018 0.751806 0.600846 0.659385
0.738 0.660743 0.739816 0.612814 0.67281
0.756 0.652469 0.727586 0.624633 0.686017
0.774 0.644194 0.71512 0.636303 0.699001
0.792 0.635919 0.702423 0.647824 0.71176
0.81 0.627645 0.689498 0.659196 0.724287
0.828 0.61937 0.67635 0.670419 0.73658
0.846 0.611096 0.662983 0.681494 0.748634
0.864 0.602821 0.649401 0.692419 0.760446
0.882 0.594547 0.635608 0.703195 0.772012
0.9 0.586272 0.62161 0.713822 0.783327
0.918 0.577998 0.60741 0.724301 0.794388
0.936 0.569723 0.593014 0.73463 0.805192
0.954 0.561448 0.578425 0.744811 0.815736
0.972 0.553174 0.563649 0.754842 0.826015
0.99 0.544899 0.54869 0.764725 0.836026
1.008 0.532651 0.533553 0.774443 0.845766
1.026 0.515435 0.518244 0.783876 0.855233
1.044 0.498219 0.502767 0.792999 0.864422
1.062 0.481002 0.487126 0.801812 0.873331
1.08 0.463786 0.471328 0.810315 0.881958
1.098 0.44657 0.455378 0.818508 0.890298
1.116 0.429354 0.439279 0.826391 0.898351
1.134 0.412138 0.423039 0.833965 0.906112
1.152 0.394922 0.406661 0.841228 0.913579
1.17 0.377706 0.390152 0.848182 0.920751
1.188 0.36049 0.373516 0.854826 0.927624
1.206 0.343274 0.356759 0.861159 0.934196
1.224 0.326058 0.339887 0.867183 0.940466
1.242 0.308842 0.322904 0.872898 0.946432
1.26 0.291626 0.305817 0.878302 0.95209
1.278 0.274409 0.288631 0.883396 0.957441
