# z  qspline(z)  sin(z)  qspline'(z)  cos(z)  qspline_integ(z)  1-cos(z)
0 0 0 0.757905 1 0 0
0.018 0.0136694 0.017999 0.760914 0.999838 0.000122943 0.000161996
0.036 0.0273929 0.0359922 0.763922 0.999352 0.000492422 0.00064793
0.054 0.0411706 0.0539738 0.76693 0.998542 0.00110941 0.00145765
0.072 0.0550024 0.0719378 0.769939 0.997409 0.00197489 0.00259088
0.09 0.0688883 0.0898785 0.772947 0.995953 0.00308982 0.00404727
0.108 0.0828285 0.10779 0.775955 0.994174 0.00445519 0.00582633
0.126 0.0968227 0.125667 0.778964 0.992072 0.00607197 0.0079275
0.144 0.110871 0.143503 0.781972 0.98965 0.00794114 0.0103501
0.162 0.124974 0.161292 0.78498 0.986907 0.0100637 0.0130933
0.18 0.13913 0.17903 0.787989 0.983844 0.0124405 0.0161563
0.198 0.153341 0.196709 0.790997 0.980462 0.0150727 0.019538
0.216 0.167606 0.214324 0.794006 0.976763 0.0179611 0.0232374
0.234 0.181926 0.23187 0.797014 0.972747 0.0211068 0.0272533
0.252 0.196299 0.249341 0.800022 0.968416 0.0245108 0.0315843
0.27 0.210726 0.266731 0.803031 0.963771 0.0281739 0.0362291
0.288 0.225208 0.284035 0.806039 0.958814 0.0320972 0.0411861
0.306 0.239744 0.301247 0.809047 0.953546 0.0362817 0.0464538
0.324 0.254334 0.318361 0.812056 0.94797 0.0407283 0.0520304
0.342 0.268978 0.335372 0.815064 0.942086 0.0454381 0.0579142
0.36 0.283676 0.352274 0.818073 0.935897 0.0504119 0.0641032
0.378 0.298428 0.369062 0.821081 0.929405 0.0556507 0.0705954
0.396 0.313235 0.385731 0.824089 0.922611 0.0611556 0.0773887
0.414 0.328096 0.402275 0.827098 0.915519 0.0669275 0.0844809
0.432 0.34301 0.418688 0.830106 0.90813 0.0729674 0.0918698
0.45 0.357979 0.434966 0.833114 0.900447 0.0792762 0.0995529
0.468 0.373003 0.451102 0.836123 0.892472 0.085855 0.107528
0.486 0.38808 0.467093 0.839131 0.884208 0.0927046 0.115792
0.504 0.403211 0.482932 0.84214 0.875658 0.0998262 0.124342
0.522 0.418397 0.498615 0.845148 0.866824 0.107221 0.133176
0.54 0.433637 0.514136 0.848156 0.857709 0.114889 0.142291
0.558 0.44893 0.529491 0.851165 0.848316 0.122832 0.151684
0.576 0.464279 0.544674 0.854173 0.838648 0.131051 0.161352
0.594 0.479681 0.55968 0.857181 0.828709 0.139546 0.171291
0.612 0.495137 0.574506 0.86019 0.818501 0.148319 0.181499
0.63 0.510648 0.589145 0.863198 0.808028 0.157371 0.191972
0.648 0.526212 0.603593 0.866206 0.797293 0.166703 0.202707
0.666 0.541831 0.617846 0.869215 0.786299 0.176315 0.213701
0.684 0.557504 0.631898 0.872223 0.775051 0.186209 0.224949
0.702 0.573231 0.645746 0.875232 0.763552 0.196386 0.236448
0.72 0.589012 0.659385 0.87824 0.751806 0.206846 0.248194
0.738 0.604848 0.67281 0.881248 0.739816 0.217591 0.260184
0.756 0.620737 0.686017 0.884257 0.727586 0.228621 0.272414
0.774 0.636681 0.699001 0.887265 0.71512 0.239937 0.28488
0.792 0.652679 0.71176 0.890273 0.702423 0.251542 0.297577
0.81 0.668731 0.724287 0.893282 0.689498 0.263434 0.310502
0.828 0.684837 0.73658 0.89629 0.67635 0.275616 0.32365
0.846 0.700997 0.748634 0.899299 0.662983 0.288089 0.337017
0.864 0.717212 0.760446 0.902307 0.649401 0.300852 0.350599
0.882 0.73348 0.772012 0.905315 0.635608 0.313909 0.364392
0.9 0.749803 0.783327 0.908324 0.62161 0.327258 0.37839
0.918 0.76618 0.794388 0.911332 0.60741 0.340902 0.39259
0.936 0.782611 0.805192 0.91434 0.593014 0.354841 0.406986
0.954 0.799096 0.815736 0.917349 0.578425 0.369076 0.421575
0.972 0.815635 0.826015 0.920357 0.563649 0.383609 0.436351
0.99 0.832229 0.836026 0.923366 0.54869 0.398439 0.45131
1.008 0.848816 0.845766 0.911321 0.533553 0.413569 0.466447
1.026 0.864942 0.855233 0.880462 0.518244 0.428994 0.481756
1.044 0.880513 0.864422 0.849602 0.502767 0.444704 0.497233
1.062 0.895528 0.873331 0.818743 0.487126 0.460689 0.512874
1.08 0.909988 0.881958 0.787883 0.471328 0.476939 0.528672
1.098 0.923892 0.890298 0.757024 0.455378 0.493445 0.544622
1.116 0.937241 0.898351 0.726164 0.439279 0.510196 0.560721
1.134 0.950034 0.906112 0.695304 0.423039 0.527182 0.576961
1.152 0.962272 0.913579 0.664445 0.406661 0.544394 0.593339
1.17 0.973954 0.920751 0.633585 0.390152 0.561821 0.609848
1.188 0.985081 0.927624 0.602726 0.373516 0.579453 0.626484
1.206 0.995652 0.934196 0.571866 0.356759 0.59728 0.643241
1.224 1.00567 0.940466 0.541007 0.339887 0.615293 0.660113
1.242 1.01513 0.946432 0.510147 0.322904 0.633481 0.677096
1.26 1.02403 0.95209 0.479287 0.305817 0.651834 0.694183
1.278 1.03238 0.957441 0.448428 0.288631 0.670343 0.711369
1.296 1.04018 0.96248 0.417568 0.271351 0.688997 0.728649
1.314 1.04742 0.967209 0.386709 0.253983 0.707786 0.746017
1.332 1.0541 0.971623 0.355849 0.236533 0.7267 0.763467
1.35 1.06023 0.975723 0.32499 0.219007 0.74573 0.780993
1.368 1.0658 0.979507 0.29413 0.201409 0.764865 0.798591
1.386 1.07081 0.982974 0.26327 0.183746 0.784096 0.816254
1.404 1.07528 0.986122 0.232411 0.166024 0.803411 0.833976
1.422 1.07918 0.98895 0.201551 0.148248 0.822802 0.851752
1.44 1.08253 0.991458 0.170692 0.130424 0.842258 0.869576
1.458 1.08533 0.993645 0.139832 0.112557 0.86177 0.887443
1.476 1.08757 0.99551 0.108973 0.0946544 0.881327 0.905346
1.494 1.08925 0.997053 0.078113 0.0767209 0.900919 0.923279
1.512 1.09038 0.998272 0.0472534 0.0587625 0.920536 0.941238
1.53 1.09095 0.999168 0.0163938 0.040785 0.940169 0.959215
1.548 1.09097 0.99974 -0.0144658 0.0227944 0.959807 0.977206
1.566 1.09043 0.999988 -0.0453253 0.00479631 0.979441 0.995204
1.584 1.08934 0.999913 -0.0761849 -0.0132033 0.999059 1.0132
1.602 1.08769 0.999513 -0.107044 -0.0311986 1.01865 1.0312
1.62 1.08548 0.99879 -0.137904 -0.0491838 1.03821 1.04918
1.638 1.08272 0.997743 -0.168764 -0.0671531 1.05773 1.06715
1.656 1.07941 0.996372 -0.199623 -0.0851006 1.07719 1.0851
1.674 1.07554 0.994679 -0.230483 -0.103021 1.09658 1.10302
1.692 1.07111 0.992664 -0.261342 -0.120907 1.1159 1.12091
1.71 1.06613 0.990327 -0.292202 -0.138755 1.13514 1.13875
1.728 1.06059 0.987669 -0.323061 -0.156557 1.15428 1.15656
1.746 1.0545 0.984691 -0.353921 -0.174309 1.17332 1.17431
1.764 1.04785 0.981394 -0.384781 -0.192004 1.19224 1.192
1.782 1.04065 0.977779 -0.41564 -0.209637 1.21104 1.20964
1.8 1.03289 0.973848 -0.4465 -0.227202 1.2297 1.2272
1.818 1.02457 0.9696 -0.477359 -0.244694 1.24822 1.24469
1.836 1.0157 0.965039 -0.508219 -0.262106 1.26658 1.26211
1.854 1.00628 0.960165 -0.539079 -0.279433 1.28478 1.27943
1.872 0.996294 0.95498 -0.569938 -0.29667 1.3028 1.29667
1.89 0.985757 0.949486 -0.600798 -0.313811 1.32064 1.31381
1.908 0.974665 0.943684 -0.631657 -0.33085 1.33829 1.33085
1.926 0.963018 0.937576 -0.662517 -0.347781 1.35573 1.34778
1.944 0.950815 0.931164 -0.693376 -0.3646 1.37295 1.3646
1.962 0.938056 0.924451 -0.724236 -0.381301 1.38995 1.3813
1.98 0.924742 0.917438 -0.755096 -0.397879 1.40672 1.39788
1.998 0.910873 0.910128 -0.785955 -0.414327 1.42324 1.41433
2.016 0.896673 0.902523 -0.788705 -0.430642 1.43951 1.43064
2.034 0.882483 0.894626 -0.787942 -0.446816 1.45552 1.44682
2.052 0.868307 0.886438 -0.787178 -0.462846 1.47128 1.46285
2.07 0.854144 0.877964 -0.786415 -0.478727 1.48678 1.47873
2.088 0.839996 0.869205 -0.785652 -0.494451 1.50203 1.49445
2.106 0.825861 0.860165 -0.784888 -0.510016 1.51702 1.51002
2.124 0.81174 0.850846 -0.784125 -0.525416 1.53176 1.52542
2.142 0.797633 0.841251 -0.783361 -0.540645 1.54624 1.54065
2.16 0.783539 0.831383 -0.782598 -0.555699 1.56047 1.5557
2.178 0.769459 0.821247 -0.781834 -0.570573 1.57445 1.57057
2.196 0.755393 0.810844 -0.781071 -0.585262 1.58817 1.58526
2.214 0.74134 0.800178 -0.780308 -0.599762 1.60164 1.59976
2.232 0.727302 0.789254 -0.779544 -0.614067 1.61486 1.61407
2.25 0.713277 0.778073 -0.778781 -0.628174 1.62783 1.62817
2.268 0.699266 0.766641 -0.778017 -0.642076 1.64054 1.64208
2.286 0.685268 0.75496 -0.777254 -0.655771 1.653 1.65577
2.304 0.671285 0.743034 -0.77649 -0.669254 1.66521 1.66925
2.322 0.657315 0.730868 -0.775727 -0.682519 1.67717 1.68252
2.34 0.643358 0.718465 -0.774964 -0.695563 1.68887 1.69556
2.358 0.629416 0.705829 -0.7742 -0.708382 1.70033 1.70838
2.376 0.615487 0.692964 -0.773437 -0.720972 1.71153 1.72097
2.394 0.601572 0.679875 -0.772673 -0.733328 1.72249 1.73333
2.412 0.587671 0.666566 -0.77191 -0.745446 1.73319 1.74545
2.43 0.573783 0.653041 -0.771146 -0.757323 1.74364 1.75732
2.448 0.55991 0.639304 -0.770383 -0.768954 1.75385 1.76895
2.466 0.54605 0.62536 -0.769619 -0.780336 1.7638 1.78034
2.484 0.532203 0.611213 -0.768856 -0.791466 1.7735 1.79147
2.502 0.518371 0.596869 -0.768093 -0.802339 1.78296 1.80234
2.52 0.504552 0.582331 -0.767329 -0.812952 1.79216 1.81295
2.538 0.490747 0.567604 -0.766566 -0.823302 1.80112 1.8233
2.556 0.476956 0.552693 -0.765802 -0.833385 1.80983 1.83338
2.574 0.463178 0.537604 -0.765039 -0.843198 1.81829 1.8432
2.592 0.449414 0.52234 -0.764275 -0.852737 1.82651 1.85274
2.61 0.435664 0.506907 -0.763512 -0.862001 1.83447 1.862
2.628 0.421928 0.49131 -0.762749 -0.870985 1.84219 1.87099
2.646 0.408205 0.475553 -0.761985 -0.879687 1.84966 1.87969
2.664 0.394496 0.459643 -0.761222 -0.888104 1.85689 1.8881
2.682 0.380801 0.443583 -0.760458 -0.896233 1.86386 1.89623
2.7 0.36712 0.42738 -0.759695 -0.904072 1.87059 1.90407
2.718 0.353452 0.411038 -0.758931 -0.911618 1.87708 1.91162
2.736 0.339798 0.394563 -0.758168 -0.918869 1.88332 1.91887
