# x J0_contour J0_ref J1_contour J1_ref J2_contour J2_ref
0 1 1 3.53395e-17 0 8.83487e-18 0
0.06 0.9991 0.9991 0.0299865 0.0299865 0.000449865 0.000449865
0.12 0.996403 0.996403 0.0598921 0.0598921 0.00179784 0.00179784
0.18 0.991916 0.991916 0.089636 0.089636 0.00403908 0.00403908
0.24 0.985652 0.985652 0.119138 0.119138 0.0071655 0.0071655
0.3 0.977626 0.977626 0.148319 0.148319 0.0111659 0.0111659
0.36 0.967861 0.967861 0.1771 0.1771 0.0160257 0.0160257
0.42 0.956384 0.956384 0.205403 0.205403 0.0217276 0.0217276
0.48 0.943224 0.943224 0.233154 0.233154 0.028251 0.028251
0.54 0.928418 0.928418 0.260277 0.260277 0.0355723 0.0355723
0.6 0.912005 0.912005 0.286701 0.286701 0.0436651 0.0436651
0.66 0.894029 0.894029 0.312355 0.312355 0.0525002 0.0525002
0.72 0.874539 0.874539 0.33717 0.33717 0.0620456 0.0620456
0.78 0.853587 0.853587 0.361083 0.361083 0.0722668 0.0722668
0.84 0.831228 0.831228 0.384029 0.384029 0.0831269 0.0831269
0.9 0.807524 0.807524 0.40595 0.40595 0.0945863 0.0945863
0.96 0.782536 0.782536 0.426787 0.426787 0.106604 0.106604
1.02 0.756332 0.756332 0.446488 0.446488 0.119135 0.119135
1.08 0.728981 0.728981 0.465003 0.465003 0.132135 0.132135
1.14 0.700556 0.700556 0.482284 0.482284 0.145556 0.145556
1.2 0.671133 0.671133 0.498289 0.498289 0.159349 0.159349
1.26 0.640788 0.640788 0.512979 0.512979 0.173464 0.173464
1.32 0.609602 0.609602 0.526317 0.526317 0.187848 0.187848
1.38 0.577658 0.577658 0.538274 0.538274 0.20245 0.20245
1.44 0.545038 0.545038 0.548821 0.548821 0.217214 0.217214
1.5 0.511828 0.511828 0.557937 0.557937 0.232088 0.232088
1.56 0.478114 0.478114 0.5656 0.5656 0.247014 0.247014
1.62 0.443985 0.443985 0.571798 0.571798 0.261939 0.261939
1.68 0.409528 0.409528 0.57652 0.57652 0.276806 0.276806
1.74 0.374832 0.374832 0.57976 0.57976 0.291559 0.291559
1.8 0.339986 0.339986 0.581517 0.581517 0.306144 0.306144
1.86 0.30508 0.30508 0.581793 0.581793 0.320504 0.320504
1.92 0.270201 0.270201 0.580595 0.580595 0.334585 0.334585
1.98 0.235438 0.235438 0.577934 0.577934 0.348334 0.348334
2.04 0.200878 0.200878 0.573827 0.573827 0.361698 0.361698
2.1 0.166607 0.166607 0.568292 0.568292 0.374624 0.374624
2.16 0.132711 0.132711 0.561354 0.561354 0.387062 0.387062
2.22 0.099272 0.099272 0.553041 0.553041 0.398963 0.398963
2.28 0.0663726 0.0663726 0.543384 0.543384 0.41028 0.41028
2.34 0.0340921 0.0340921 0.532419 0.532419 0.420967 0.420967
2.4 0.00250768 0.00250768 0.520185 0.520185 0.43098 0.43098
2.46 -0.0283057 -0.0283057 0.506726 0.506726 0.440278 0.440278
2.52 -0.0582758 -0.0582758 0.492086 0.492086 0.44882 0.44882
2.58 -0.0873334 -0.0873334 0.476317 0.476317 0.456571 0.456571
2.64 -0.115412 -0.115412 0.45947 0.45947 0.463496 0.463496
2.7 -0.142449 -0.142449 0.441601 0.441601 0.469562 0.469562
