# b numeric exact
0 3.14159 3.14159
0.02 3.14175 3.14175
0.04 3.14222 3.14222
0.06 3.14301 3.14301
0.08 3.14411 3.14411
0.1 3.14553 3.14553
0.12 3.14726 3.14726
0.14 3.14932 3.14932
0.16 3.15169 3.15169
0.18 3.15439 3.15439
0.2 3.15742 3.15742
0.22 3.16077 3.16077
0.24 3.16446 3.16446
0.26 3.16848 3.16848
0.28 3.17284 3.17284
0.3 3.17754 3.17754
0.32 3.18259 3.18259
0.34 3.188 3.188
0.36 3.19376 3.19376
0.38 3.19988 3.19988
0.4 3.20637 3.20637
0.42 3.21324 3.21324
0.44 3.2205 3.2205
0.46 3.22814 3.22814
0.48 3.23618 3.23618
0.5 3.24462 3.24462
0.52 3.25348 3.25348
0.54 3.26277 3.26277
0.56 3.27249 3.27249
0.58 3.28266 3.28266
0.6 3.29328 3.29328
0.62 3.30438 3.30438
0.64 3.31595 3.31595
0.66 3.32803 3.32803
0.68 3.34061 3.34061
0.7 3.35372 3.35372
0.72 3.36737 3.36737
0.74 3.38158 3.38158
0.76 3.39637 3.39637
0.78 3.41175 3.41175
0.8 3.42776 3.42776
0.82 3.44441 3.44441
0.84 3.46172 3.46172
0.86 3.47972 3.47972
0.88 3.49844 3.49844
0.9 3.51791 3.51791
0.92 3.53815 3.53815
0.94 3.55921 3.55921
0.96 3.58111 3.58111
0.98 3.60389 3.60389
1 3.6276 3.6276
1.02 3.65227 3.65227
1.04 3.67796 3.67796
1.06 3.70472 3.70472
1.08 3.73259 3.73259
1.1 3.76164 3.76164
1.12 3.79194 3.79194
1.14 3.82354 3.82354
1.16 3.85653 3.85653
1.18 3.89098 3.89098
1.2 3.92699 3.92699
1.22 3.96465 3.96465
1.24 4.00406 4.00406
1.26 4.04534 4.04534
1.28 4.08862 4.08862
1.3 4.13403 4.13403
1.32 4.18173 4.18173
1.34 4.23189 4.23189
1.36 4.2847 4.2847
1.38 4.34036 4.34036
1.4 4.39911 4.39911
1.42 4.46121 4.46121
1.44 4.52696 4.52696
1.46 4.59669 4.59669
1.48 4.67077 4.67077
1.5 4.74964 4.74964
1.52 4.83379 4.83379
1.54 4.92379 4.92379
1.56 5.02029 5.02029
1.58 5.12405 5.12405
1.6 5.23599 5.23599
1.62 5.35715 5.35715
1.64 5.48881 5.48881
1.66 5.63248 5.63248
1.68 5.79003 5.79003
1.7 5.96374 5.96374
1.72 6.15644 6.15644
1.74 6.37173 6.37173
1.76 6.61425 6.61425
1.78 6.89005 6.89005
1.8 7.20731 7.20731
1.82 7.57726 7.57726
1.84 8.01594 8.01594
1.86 8.54717 8.54717
1.88 9.20817 9.20817
1.9 10.0611 10.0611
